,,Steve Jones,Louie Sanchez,Total Votes Cast,Total Ballots Cast
,,Republican,Republican,,
Precinct,4,6,*,6,6
Precinct,Voter Privacy,0,8,8,8
County,Guadalupe,33,97,130,130
Precinct,1,14,39,53,53
Precinct,2,5,9,14,14
Precinct,3,11,30,41,41
Precinct,4,*,6,6,6
Precinct,5,*,13,13,13
Precinct,Voter Privacy,*,*,*,3
County,Lincoln,1556,1102,2658,2658
Precinct,1,59,15,74,74
Precinct,2,29,62,91,91
Precinct,3,110,53,163,163
Precinct,4,55,44,99,99
Precinct,5,74,57,131,131
Precinct,6,102,73,175,175
Precinct,7,67,33,100,100
Precinct,8,34,26,60,60
Precinct,9,56,28,84,84
Precinct,10,26,28,54,54
Precinct,11,59,41,100,100
Precinct,12,51,54,105,105
Precinct,13,62,63,125,125
Precinct,14,106,62,168,168
Precinct,15,43,32,75,75
Precinct,16,21,13,34,34
Precinct,17,77,41,118,118
Precinct,18,13,16,29,29
Precinct,19,44,31,75,75
Precinct,20,29,16,45,45
Precinct,21,77,57,134,134
Precinct,22,16,14,30,30
Precinct,23,26,11,37,37
Precinct,24,39,20,59,59
Precinct,25,42,44,86,86
Precinct,26,99,72,171,171
Precinct,27,64,26,90,90
Precinct,28,24,17,41,41
Precinct,29,52,53,105,105
Precinct,Voter Privacy,0,0,0,0
County,Otero,*,*,*,5
Precinct,56,*,*,0,0
Precinct,Voter Privacy,*,*,*,5
County,Sandoval,3316,3343,6659,6659
Precinct,1,16,17,33,33
Precinct,2,16,10,26,26
Precinct,3,20,22,42,42
Precinct,4,6,12,18,18
Precinct,5,18,27,45,45
Precinct,11,28,27,55,55
Precinct,12,26,24,50,50
Precinct,13,14,13,27,27
Precinct,28,50,53,103,103
Precinct,29,*,*,0,0
Precinct,30,32,43,75,75
Precinct,31,37,30,67,67
Precinct,32,37,31,68,68
Precinct,33,18,19,37,37
Precinct,34,35,25,60,60
Precinct,35,17,16,33,33
Precinct,36,29,21,50,50
Precinct,37,29,32,61,61
Precinct,38,23,28,51,51
Precinct,39,41,35,76,76
Precinct,40,28,32,60,60
Precinct,41,41,40,81,81
Precinct,42,42,32,74,74
Precinct,43,27,39,66,66
Precinct,44,31,33,64,64
Precinct,45,29,19,48,48
Precinct,46,27,29,56,56
Precinct,47,17,14,31,31
Precinct,48,41,32,73,73
Precinct,49,41,42,83,83
Precinct,50,38,21,59,59
Precinct,52,15,17,32,32
Precinct,53,36,39,75,75
Precinct,54,15,21,36,36
Precinct,55,12,13,25,25
Precinct,56,37,34,71,71
Precinct,57,35,43,78,78
Precinct,58,52,25,77,77
Precinct,59,19,19,38,38
Precinct,60,20,24,44,44
Precinct,61,25,22,47,47
Precinct,62,30,22,52,52
Precinct,63,26,39,65,65
Precinct,64,36,46,82,82
Precinct,65,10,13,23,23
Precinct,66,20,38,58,58
Precinct,67,16,13,29,29
Precinct,68,35,34,69,69
Precinct,69,7,12,19,19
Precinct,70,17,34,51,51
Precinct,71,23,14,37,37
Precinct,72,34,29,63,63
Precinct,73,52,47,99,99
Precinct,74,24,25,49,49
Precinct,75,30,49,79,79
Precinct,76,45,28,73,73
Precinct,80,25,27,52,52
Precinct,81,21,18,39,39
Precinct,82,28,34,62,62
Precinct,83,21,46,67,67
Precinct,84,12,16,28,28
Precinct,85,8,12,20,20
Precinct,86,21,30,51,51
Precinct,87,18,24,42,42
Precinct,88,14,12,26,26
Precinct,89,31,19,50,50
Precinct,90,21,12,33,33
Precinct,92,18,15,33,33
Precinct,93,36,52,88,88
Precinct,94,25,28,53,53
Precinct,96,40,34,74,74
Precinct,97,42,29,71,71
Precinct,98,25,35,60,60
Precinct,99,25,19,44,44
Precinct,100,12,16,28,28
Precinct,101,16,25,41,41
Precinct,102,37,22,59,59
Precinct,103,26,35,61,61
Precinct,104,31,27,58,58
Precinct,105,16,15,31,31
Precinct,106,41,25,66,66
Precinct,107,41,25,66,66
Precinct,108,24,13,37,37
Precinct,109,27,21,48,48
Precinct,110,32,31,63,63
Precinct,111,38,30,68,68
Precinct,112,26,31,57,57
Precinct,113,26,30,56,56
Precinct,114,41,50,91,91
Precinct,115,24,40,64,64
Precinct,116,23,27,50,50
Precinct,117,20,21,41,41
Precinct,119,41,35,76,76
Precinct,120,9,14,23,23
Precinct,121,26,17,43,43
Precinct,122,27,32,59,59
Precinct,123,42,45,87,87
Precinct,124,14,19,33,33
Precinct,125,18,28,46,46
Precinct,126,11,8,19,19
Precinct,127,19,19,38,38
Precinct,128,17,33,50,50
Precinct,129,32,29,61,61
Precinct,130,18,19,37,37
Precinct,131,20,11,31,31
Precinct,132,35,35,70,70
Precinct,133,23,18,41,41
Precinct,134,36,28,64,64
Precinct,135,17,22,39,39
Precinct,136,29,28,57,57
Precinct,137,10,27,37,37
Precinct,138,42,47,89,89
Precinct,139,34,26,60,60
Precinct,140,22,10,32,32
Precinct,141,24,20,44,44
Precinct,142,15,18,33,33
Precinct,143,38,51,89,89
Precinct,144,10,13,23,23
Precinct,145,13,9,22,22
Precinct,146,7,7,14,14
Precinct,147,20,21,41,41
Precinct,148,22,35,57,57
Precinct,150,11,24,35,35
Precinct,151,21,7,28,28
Precinct,153,17,7,24,24
Precinct,154,26,22,48,48
Precinct,155,19,21,40,40
Precinct,156,55,49,104,104
Precinct,157,15,23,38,38
Precinct,Voter Privacy,4,2,6,6
County,Santa Fe,458,334,792,792
Precinct,15,33,19,52,52
Precinct,18,30,26,56,56
Precinct,73,58,35,93,93
Precinct,84,45,39,84,84
Precinct,85,43,44,87,87
Precinct,115,54,32,86,86
Precinct,125,63,37,100,100
Precinct,148,42,36,78,78
Precinct,156,32,31,63,63
Precinct,157,58,35,93,93
Precinct,Voter Privacy,0,0,0,0
County,Torrance,814,378,1192,1192
Precinct,1,87,47,134,134
Precinct,2,41,15,56,56
Precinct,3,33,18,51,51
Precinct,4,34,13,47,47
Precinct,5,42,24,66,66
Precinct,6,52,17,69,69
Precinct,7,65,14,79,79
Precinct,8,30,14,44,44
Precinct,9,59,33,92,92
Precinct,10,62,16,78,78
Precinct,11,19,5,24,24
Precinct,12,17,*,17,17
Precinct,13,44,48,92,92
Precinct,14,13,5,18,18
Precinct,15,26,13,39,39
Precinct,16,30,25,55,55
Precinct,17,29,19,48,48
Precinct,18,31,12,43,43
Precinct,19,28,10,38,38
Precinct,20,14,5,19,19
Precinct,21,28,11,39,39
Precinct,22,30,10,40,40
Precinct,Voter Privacy,*,*,*,4
County,Valencia,900,817,1717,1717
Precinct,4,50,35,85,85
Precinct,5,26,49,75,75
Precinct,6,27,43,70,70
Precinct,8,19,18,37,37
Precinct,9,63,36,99,99
Precinct,10,37,41,78,78
Precinct,11,85,56,141,141
Precinct,14,48,53,101,101
Precinct,15,26,26,52,52
Precinct,16,6,16,22,22
Precinct,18,65,48,113,113
Precinct,22,42,23,65,65
Precinct,24,*,*,0,0
Precinct,28,17,6,23,23
Precinct,30,37,34,71,71
Precinct,32,36,26,62,62
Precinct,36,16,19,35,35
Precinct,38,29,24,53,53
Precinct,45,25,29,54,54
Precinct,49,26,21,47,47
Precinct,50,8,*,8,8
Precinct,56,10,10,20,20
Precinct,57,49,45,94,94
Precinct,58,30,38,68,68
Precinct,60,38,40,78,78
Precinct,61,45,33,78,78
Precinct,62,23,21,44,44
Precinct,63,14,22,36,36
Precinct,Voter Privacy,3,5,8,8
