,,Gabriel Vasquez,Total Votes Cast,Total Ballots Cast
,,Democratic,,
Precinct,161,14,14,14
Precinct,162,65,65,65
Precinct,163,9,9,9
Precinct,164,38,38,38
Precinct,165,13,13,13
Precinct,166,33,33,33
Precinct,167,17,17,17
Precinct,168,9,9,9
Precinct,169,20,20,20
Precinct,170,44,44,44
Precinct,171,68,68,68
Precinct,172,60,60,60
Precinct,173,38,38,38
Precinct,174,29,29,29
Precinct,175,48,48,48
Precinct,176,109,109,109
Precinct,177,76,76,76
Precinct,178,61,61,61
Precinct,179,42,42,42
Precinct,180,38,38,38
Precinct,181,77,77,77
Precinct,182,63,63,63
Precinct,183,18,18,18
Precinct,184,19,19,19
Precinct,185,56,56,56
Precinct,186,31,31,31
Precinct,187,63,63,63
Precinct,188,27,27,27
Precinct,189,13,13,13
Precinct,190,61,61,61
Precinct,Voter Privacy,9,9,9
County,Eddy,840,840,840
Precinct,9,26,26,26
Precinct,10,42,42,42
Precinct,11,21,21,21
Precinct,12,8,8,8
Precinct,13,42,42,42
Precinct,14,22,22,22
Precinct,15,35,35,35
Precinct,16,31,31,31
Precinct,17,38,38,38
Precinct,18,33,33,33
Precinct,19,36,36,36
Precinct,20,15,15,15
Precinct,21,14,14,14
Precinct,23,26,26,26
Precinct,24,15,15,15
Precinct,25,18,18,18
Precinct,26,24,24,24
Precinct,27,17,17,17
Precinct,28,21,21,21
Precinct,29,*,0,0
Precinct,30,*,0,0
Precinct,32,36,36,36
Precinct,33,25,25,25
Precinct,34,16,16,16
Precinct,35,26,26,26
Precinct,36,24,24,24
Precinct,37,10,10,10
Precinct,38,8,8,8
Precinct,39,*,*,5
Precinct,40,*,0,0
Precinct,42,*,0,0
Precinct,44,31,31,31
Precinct,45,21,21,21
Precinct,47,24,24,24
Precinct,48,11,11,11
Precinct,49,13,13,13
Precinct,50,35,35,35
Precinct,51,23,23,23
Precinct,52,33,33,33
Precinct,54,12,12,12
Precinct,Voter Privacy,*,*,3
County,Grant,2642,2642,2642
Precinct,1,25,25,25
Precinct,2,57,57,57
Precinct,3,*,*,5
Precinct,4,22,22,22
Precinct,5,101,101,101
Precinct,6,8,8,8
Precinct,7,69,69,69
Precinct,8,78,78,78
Precinct,9,38,38,38
Precinct,10,36,36,36
Precinct,11,59,59,59
Precinct,12,107,107,107
Precinct,13,105,105,105
Precinct,14,141,141,141
Precinct,15,143,143,143
Precinct,16,105,105,105
Precinct,17,39,39,39
Precinct,18,91,91,91
Precinct,19,54,54,54
Precinct,20,145,145,145
Precinct,21,46,46,46
Precinct,22,110,110,110
Precinct,23,27,27,27
Precinct,24,47,47,47
Precinct,25,89,89,89
Precinct,26,47,47,47
Precinct,27,65,65,65
Precinct,28,71,71,71
Precinct,29,58,58,58
Precinct,30,56,56,56
Precinct,31,*,0,0
Precinct,32,35,35,35
Precinct,33,45,45,45
Precinct,34,77,77,77
Precinct,35,*,*,5
Precinct,36,79,79,79
Precinct,37,68,68,68
Precinct,38,166,166,166
Precinct,39,119,119,119
Precinct,Voter Privacy,*,*,4
County,Hidalgo,405,405,405
Precinct,1 - Lordsburg/west,84,84,84
Precinct,2 - Lordsburge/central,66,66,66
Precinct,3 - Lordsburg/east,*,0,0
Precinct,4 - Virden,12,12,12
Precinct,5 - Rodeo,32,32,32
Precinct,6 - Animas,8,8,8
Precinct,7- Lordsburg North/west,13,13,13
Precinct,8 - South Animas/South Lordsburg,11,11,11
Precinct,9- Animas/ Central,*,0,0
Precinct,10- Lordsburg Northeast,37,37,37
Precinct,11- Lordsburg Southwest,130,130,130
Precinct,12- Lordsburg,10,10,10
Precinct,Voter Privacy,*,*,2
County,Lea,99,99,99
Precinct,36,10,10,10
Precinct,41,9,9,9
Precinct,43,12,12,12
Precinct,50,*,0,0
Precinct,53,20,20,20
Precinct,54,6,6,6
Precinct,55,9,9,9
Precinct,58,*,0,0
Precinct,59,*,0,0
Precinct,62,*,0,0
Precinct,71,*,0,0
Precinct,72,13,13,13
Precinct,73,8,8,8
Precinct,74,*,0,0
Precinct,Voter Privacy,12,12,12
County,Luna,807,807,807
Precinct,1,27,27,27
Precinct,2,34,34,34
Precinct,3,46,46,46
Precinct,4,55,55,55
Precinct,5,46,46,46
Precinct,6,73,73,73
Precinct,7,37,37,37
Precinct,8,62,62,62
Precinct,9,78,78,78
Precinct,10,31,31,31
Precinct,11,57,57,57
Precinct,12,70,70,70
Precinct,13,54,54,54
Precinct,14,61,61,61
Precinct,15,9,9,9
Precinct,16,25,25,25
Precinct,17,25,25,25
Precinct,18,17,17,17
Precinct,Voter Privacy,0,0,0
County,McKinley,372,372,372
Precinct,26,30,30,30
Precinct,27,54,54,54
Precinct,29,87,87,87
Precinct,30,61,61,61
Precinct,64,69,69,69
Precinct,66,71,71,71
Precinct,Voter Privacy,0,0,0
County,Otero,1330,1330,1330
Precinct,1,6,6,6
Precinct,2,*,0,0
Precinct,3,*,0,0
Precinct,4,*,0,0
Precinct,5,10,10,10
Precinct,6,6,6,6
Precinct,7,*,*,5
Precinct,8,39,39,39
Precinct,9,32,32,32
Precinct,10,34,34,34
Precinct,11,8,8,8
Precinct,12,51,51,51
Precinct,13,46,46,46
Precinct,14,29,29,29
Precinct,15,19,19,19
Precinct,16,*,0,0
Precinct,17,22,22,22
Precinct,18,21,21,21
Precinct,19,21,21,21
Precinct,20,28,28,28
Precinct,21,33,33,33
Precinct,22,21,21,21
Precinct,23,31,31,31
Precinct,24,45,45,45
Precinct,25,30,30,30
Precinct,26,28,28,28
Precinct,27,38,38,38
Precinct,28,14,14,14
Precinct,29,20,20,20
Precinct,30,17,17,17
Precinct,31,29,29,29
Precinct,32,37,37,37
Precinct,33,27,27,27
Precinct,34,19,19,19
Precinct,35,17,17,17
Precinct,36,37,37,37
Precinct,37,26,26,26
Precinct,38,*,0,0
Precinct,39,30,30,30
Precinct,40,23,23,23
Precinct,41,*,0,0
Precinct,42,21,21,21
Precinct,43,*,0,0
Precinct,44,18,18,18
Precinct,45,*,0,0
Precinct,46,9,9,9
Precinct,47,28,28,28
Precinct,48,31,31,31
Precinct,49,31,31,31
Precinct,50,15,15,15
Precinct,51,44,44,44
Precinct,52,18,18,18
Precinct,53,14,14,14
Precinct,54,32,32,32
Precinct,55,10,10,10
Precinct,57,31,31,31
Precinct,58,*,0,0
Precinct,59,*,0,0
Precinct,60,15,15,15
Precinct,61,19,19,19
Precinct,62,19,19,19
Precinct,63,10,10,10
Precinct,64,23,23,23
Precinct,65,21,21,21
Precinct,66,*,0,0
Precinct,Voter Privacy,22,22,22
County,Sierra,495,495,495
Precinct,1,59,59,59
Precinct,2,51,51,51
Precinct,3,15,15,15
Precinct,4,21,21,21
Precinct,5,16,16,16
Precinct,6,35,35,35
Precinct,7,61,61,61
Precinct,8,61,61,61
Precinct,9,6,6,6
Precinct,10,29,29,29
Precinct,11,41,41,41
Precinct,12,100,100,100
Precinct,Voter Privacy,0,0,0
County,Socorro,920,920,920
Precinct,1,56,56,56
Precinct,2,55,55,55
Precinct,3,70,70,70
Precinct,4,28,28,28
Precinct,5,28,28,28
Precinct,6,31,31,31
Precinct,7,18,18,18
Precinct,8,92,92,92
Precinct,9,*,*,5
Precinct,10,21,21,21
Precinct,11,58,58,58
Precinct,12,*,0,0
Precinct,13,46,46,46
Precinct,14,30,30,30
Precinct,15,109,109,109
Precinct,16,6,6,6
Precinct,17,8,8,8
Precinct,18,62,62,62
Precinct,19,56,56,56
Precinct,20,33,33,33
Precinct,21,*,0,0
Precinct,22,10,10,10
Precinct,23,16,16,16
Precinct,24,35,35,35
Precinct,25,8,8,8
Precinct,26,*,0,0
Precinct,27,34,34,34
Precinct,Voter Privacy,*,*,5
County,Valencia,2134,2134,2134
Precinct,1,22,22,22
Precinct,2,42,42,42
Precinct,3,90,90,90
Precinct,7,60,60,60
Precinct,12,76,76,76
Precinct,13,62,62,62
Precinct,17,68,68,68
Precinct,19,35,35,35
Precinct,20,20,20,20
Precinct,21,81,81,81
Precinct,23,89,89,89
Precinct,25,31,31,31
Precinct,26,39,39,39
Precinct,27,83,83,83
Precinct,29,45,45,45
Precinct,31,38,38,38
Precinct,33,29,29,29
Precinct,34,21,21,21
Precinct,35,33,33,33
Precinct,37,58,58,58
Precinct,39,155,155,155
Precinct,40,41,41,41
Precinct,41,83,83,83
Precinct,42,81,81,81
Precinct,43,74,74,74
Precinct,44,42,42,42
Precinct,46,55,55,55
Precinct,47,74,74,74
Precinct,48,94,94,94
Precinct,51,31,31,31
Precinct,52,49,49,49
Precinct,53,20,20,20
Precinct,54,57,57,57
Precinct,55,96,96,96
Precinct,59,45,45,45
Precinct,64,35,35,35
Precinct,65,47,47,47
Precinct,66,33,33,33
Precinct,Voter Privacy,0,0,0
