,,Nella Louise Domenici,Total Votes Cast,Total Ballots Cast
,,Republican,,
Precinct,577,90,90,90
Precinct,578,47,47,47
Precinct,579,65,65,65
Precinct,580,56,56,56
Precinct,581,13,13,13
Precinct,582,31,31,31
Precinct,583,56,56,56
Precinct,584,64,64,64
Precinct,585,67,67,67
Precinct,586,62,62,62
Precinct,587,34,34,34
Precinct,588,101,101,101
Precinct,589,29,29,29
Precinct,590,65,65,65
Precinct,591,*,0,0
Precinct,592,76,76,76
Precinct,593,53,53,53
Precinct,594,98,98,98
Precinct,595,88,88,88
Precinct,596,52,52,52
Precinct,597,96,96,96
Precinct,598,68,68,68
Precinct,599,23,23,23
Precinct,600,*,0,0
Precinct,601,58,58,58
Precinct,602,61,61,61
Precinct,603,76,76,76
Precinct,604,*,0,0
Precinct,605,18,18,18
Precinct,606,34,34,34
Precinct,607,26,26,26
Precinct,608,102,102,102
Precinct,609,19,19,19
Precinct,610,32,32,32
Precinct,611,34,34,34
Precinct,612,26,26,26
Precinct,613,*,0,0
Precinct,614,35,35,35
Precinct,615,40,40,40
Precinct,616,18,18,18
Precinct,617,17,17,17
Precinct,618,21,21,21
Precinct,619,*,0,0
Precinct,620,*,0,0
Precinct,621,22,22,22
Precinct,622,32,32,32
Precinct,623,58,58,58
Precinct,624,28,28,28
Precinct,625,27,27,27
Precinct,626,33,33,33
Precinct,627,6,6,6
Precinct,628,14,14,14
Precinct,629,16,16,16
Precinct,630,20,20,20
Precinct,631,8,8,8
Precinct,632,18,18,18
Precinct,633,15,15,15
Precinct,634,15,15,15
Precinct,635,27,27,27
Precinct,636,30,30,30
Precinct,637,38,38,38
Precinct,638,16,16,16
Precinct,639,27,27,27
Precinct,640,9,9,9
Precinct,641,10,10,10
Precinct,642,6,6,6
Precinct,643,30,30,30
Precinct,644,30,30,30
Precinct,645,17,17,17
Precinct,646,12,12,12
Precinct,647,23,23,23
Precinct,648,51,51,51
Precinct,649,36,36,36
Precinct,650,22,22,22
Precinct,651,47,47,47
Precinct,652,9,9,9
Precinct,653,*,0,0
Precinct,654,15,15,15
Precinct,655,12,12,12
Precinct,656,28,28,28
Precinct,657,25,25,25
Precinct,658,13,13,13
Precinct,659,34,34,34
Precinct,660,10,10,10
Precinct,661,31,31,31
Precinct,662,32,32,32
Precinct,663,18,18,18
Precinct,664,14,14,14
Precinct,665,42,42,42
Precinct,666,20,20,20
Precinct,667,54,54,54
Precinct,668,22,22,22
Precinct,669,12,12,12
Precinct,670,37,37,37
Precinct,671,13,13,13
Precinct,672,26,26,26
Precinct,673,21,21,21
Precinct,674,34,34,34
Precinct,675,33,33,33
Precinct,676,34,34,34
Precinct,677,15,15,15
Precinct,678,19,19,19
Precinct,679,27,27,27
Precinct,680,34,34,34
Precinct,681,37,37,37
Precinct,682,45,45,45
Precinct,683,26,26,26
Precinct,684,40,40,40
Precinct,685,20,20,20
Precinct,686,25,25,25
Precinct,687,7,7,7
Precinct,Voter Privacy,76,76,76
County,Catron,439,439,439
Precinct,1,71,71,71
Precinct,2,85,85,85
Precinct,3,57,57,57
Precinct,4,53,53,53
Precinct,5,50,50,50
Precinct,6,27,27,27
Precinct,7,53,53,53
Precinct,8,31,31,31
Precinct,9,12,12,12
Precinct,Voter Privacy,0,0,0
County,Chaves,4765,4765,4765
Precinct,1,119,119,119
Precinct,2,102,102,102
Precinct,3,97,97,97
Precinct,4,87,87,87
Precinct,5,169,169,169
Precinct,6,100,100,100
Precinct,7,172,172,172
Precinct,8,173,173,173
Precinct,9,96,96,96
Precinct,10,242,242,242
Precinct,11,113,113,113
Precinct,12,152,152,152
Precinct,13,77,77,77
Precinct,14,74,74,74
Precinct,15,51,51,51
Precinct,16,88,88,88
Precinct,17,153,153,153
Precinct,18,91,91,91
Precinct,20,118,118,118
Precinct,21,184,184,184
Precinct,22,107,107,107
Precinct,23,41,41,41
Precinct,24,29,29,29
Precinct,25,35,35,35
Precinct,31,56,56,56
Precinct,32,14,14,14
Precinct,33,39,39,39
Precinct,34,24,24,24
Precinct,35,50,50,50
Precinct,36,157,157,157
Precinct,40,90,90,90
Precinct,41,110,110,110
Precinct,42,22,22,22
Precinct,43,28,28,28
Precinct,44,18,18,18
Precinct,45,*,0,0
Precinct,46,25,25,25
Precinct,47,*,0,0
Precinct,51,13,13,13
Precinct,52,70,70,70
Precinct,61,6,6,6
Precinct,62,10,10,10
Precinct,63,34,34,34
Precinct,64,16,16,16
Precinct,71,115,115,115
Precinct,72,51,51,51
Precinct,73,65,65,65
Precinct,74,31,31,31
Precinct,81,32,32,32
Precinct,82,46,46,46
Precinct,83,42,42,42
Precinct,84,75,75,75
Precinct,85,62,62,62
Precinct,90,27,27,27
Precinct,91,84,84,84
Precinct,92,57,57,57
Precinct,93,100,100,100
Precinct,94,32,32,32
Precinct,95,10,10,10
Precinct,101,118,118,118
Precinct,102,93,93,93
Precinct,103,57,57,57
Precinct,104,33,33,33
Precinct,105,56,56,56
Precinct,106,70,70,70
Precinct,Voter Privacy,*,*,4
County,Cibola,824,824,824
Precinct,1,28,28,28
Precinct,2,16,16,16
Precinct,3,12,12,12
Precinct,4,60,60,60
Precinct,5,22,22,22
Precinct,6,29,29,29
Precinct,7,48,48,48
Precinct,8,35,35,35
Precinct,9,32,32,32
Precinct,10,55,55,55
Precinct,11,58,58,58
Precinct,12,35,35,35
Precinct,13,30,30,30
Precinct,14,54,54,54
Precinct,15,68,68,68
Precinct,16,40,40,40
Precinct,17,7,7,7
Precinct,18,7,7,7
Precinct,19,53,53,53
Precinct,20,17,17,17
Precinct,21,9,9,9
Precinct,22,14,14,14
Precinct,23,*,0,0
Precinct,24,*,0,0
Precinct,25,*,0,0
Precinct,26,17,17,17
Precinct,27,12,12,12
Precinct,28,40,40,40
Precinct,29,9,9,9
Precinct,30,9,9,9
Precinct,Voter Privacy,8,8,8
County,Colfax,667,667,667
Precinct,1,50,50,50
Precinct,2,34,34,34
Precinct,3,45,45,45
Precinct,4,29,29,29
Precinct,5,46,46,46
Precinct,7,22,22,22
Precinct,8,90,90,90
Precinct,9,19,19,19
Precinct,10,11,11,11
Precinct,11,10,10,10
Precinct,12,16,16,16
Precinct,13,10,10,10
Precinct,14,18,18,18
Precinct,15,28,28,28
Precinct,16,55,55,55
Precinct,17,22,22,22
Precinct,18,9,9,9
Precinct,19,*,0,0
Precinct,20,19,19,19
Precinct,21,40,40,40
Precinct,22,90,90,90
Precinct,Voter Privacy,*,*,4
County,Curry,1856,1856,1856
Precinct,1,25,25,25
Precinct,2,28,28,28
Precinct,3,28,28,28
Precinct,4,108,108,108
Precinct,5,32,32,32
Precinct,6,*,*,5
Precinct,7,8,8,8
Precinct,8,28,28,28
Precinct,9,26,26,26
Precinct,10,68,68,68
Precinct,11,64,64,64
Precinct,12,52,52,52
Precinct,13,41,41,41
Precinct,14,54,54,54
Precinct,15,29,29,29
Precinct,16,*,0,0
Precinct,17,85,85,85
Precinct,18,93,93,93
Precinct,19,58,58,58
Precinct,20,32,32,32
Precinct,21,21,21,21
Precinct,22,13,13,13
Precinct,23,88,88,88
Precinct,24,90,90,90
Precinct,25,*,0,0
Precinct,26,*,0,0
Precinct,27,8,8,8
Precinct,28,14,14,14
Precinct,29,13,13,13
Precinct,30,52,52,52
Precinct,31,11,11,11
Precinct,32,43,43,43
Precinct,33,67,67,67
Precinct,34,21,21,21
Precinct,35,110,110,110
Precinct,36,45,45,45
Precinct,37,101,101,101
Precinct,38,33,33,33
Precinct,39,91,91,91
Precinct,40,91,91,91
Precinct,41,15,15,15
Precinct,42,26,26,26
Precinct,43,31,31,31
Precinct,Voter Privacy,8,8,8
County,De Baca,175,175,175
Precinct,1,21,21,21
Precinct,2,99,99,99
Precinct,3,45,45,45
Precinct,4,10,10,10
Precinct,Voter Privacy,0,0,0
County,Dona Ana,3963,3963,3963
Precinct,1,17,17,17
Precinct,2,17,17,17
Precinct,3,9,9,9
Precinct,4,12,12,12
Precinct,5,8,8,8
Precinct,6,17,17,17
Precinct,7,38,38,38
Precinct,8,12,12,12
Precinct,9,*,0,0
Precinct,10,*,0,0
Precinct,11,8,8,8
Precinct,12,7,7,7
Precinct,13,*,0,0
Precinct,14,24,24,24
Precinct,15,11,11,11
Precinct,16,16,16,16
Precinct,17,20,20,20
Precinct,18,24,24,24
Precinct,19,46,46,46
Precinct,20,36,36,36
Precinct,21,25,25,25
Precinct,22,35,35,35
Precinct,23,18,18,18
Precinct,24,19,19,19
Precinct,25,23,23,23
Precinct,26,30,30,30
Precinct,27,16,16,16
Precinct,28,11,11,11
Precinct,29,7,7,7
Precinct,30,13,13,13
Precinct,31,16,16,16
Precinct,32,*,0,0
Precinct,33,13,13,13
Precinct,34,14,14,14
Precinct,35,*,0,0
Precinct,36,*,*,5
Precinct,37,15,15,15
Precinct,38,6,6,6
Precinct,39,18,18,18
Precinct,40,32,32,32
Precinct,41,6,6,6
Precinct,42,*,*,5
Precinct,43,7,7,7
Precinct,44,8,8,8
Precinct,45,14,14,14
Precinct,46,10,10,10
Precinct,47,12,12,12
Precinct,48,23,23,23
Precinct,49,23,23,23
Precinct,50,8,8,8
Precinct,51,18,18,18
Precinct,52,15,15,15
Precinct,53,7,7,7
Precinct,54,*,0,0
Precinct,55,25,25,25
Precinct,56,18,18,18
Precinct,57,33,33,33
Precinct,58,*,0,0
Precinct,59,40,40,40
Precinct,60,*,*,5
Precinct,61,32,32,32
Precinct,62,23,23,23
Precinct,63,69,69,69
Precinct,64,27,27,27
Precinct,65,8,8,8
Precinct,66,21,21,21
Precinct,67,40,40,40
Precinct,68,15,15,15
Precinct,69,21,21,21
Precinct,70,13,13,13
Precinct,71,24,24,24
Precinct,72,14,14,14
Precinct,73,27,27,27
Precinct,74,22,22,22
Precinct,75,18,18,18
Precinct,76,11,11,11
Precinct,77,31,31,31
Precinct,78,26,26,26
Precinct,79,16,16,16
Precinct,80,7,7,7
Precinct,81,8,8,8
Precinct,82,22,22,22
Precinct,83,18,18,18
Precinct,84,31,31,31
Precinct,85,34,34,34
Precinct,86,29,29,29
Precinct,87,23,23,23
Precinct,88,12,12,12
Precinct,89,39,39,39
Precinct,90,26,26,26
Precinct,91,27,27,27
Precinct,92,*,0,0
Precinct,93,*,0,0
Precinct,94,9,9,9
Precinct,95,*,*,5
Precinct,96,50,50,50
Precinct,97,*,0,0
Precinct,98,41,41,41
Precinct,99,38,38,38
Precinct,100,33,33,33
Precinct,101,33,33,33
Precinct,102,27,27,27
Precinct,103,26,26,26
Precinct,104,16,16,16
Precinct,105,40,40,40
Precinct,106,38,38,38
Precinct,107,66,66,66
Precinct,108,16,16,16
Precinct,109,30,30,30
Precinct,110,51,51,51
Precinct,111,15,15,15
Precinct,112,44,44,44
