,,Yvette Herrell,Total Votes Cast,Total Ballots Cast
,,Republican,,
Precinct,111,14,14,14
Precinct,112,46,46,46
Precinct,113,49,49,49
Precinct,114,35,35,35
Precinct,115,58,58,58
Precinct,116,54,54,54
Precinct,117,16,16,16
Precinct,118,28,28,28
Precinct,119,29,29,29
Precinct,120,6,6,6
Precinct,121,8,8,8
Precinct,122,47,47,47
Precinct,123,50,50,50
Precinct,124,39,39,39
Precinct,125,51,51,51
Precinct,126,34,34,34
Precinct,127,29,29,29
Precinct,128,43,43,43
Precinct,129,24,24,24
Precinct,130,58,58,58
Precinct,131,21,21,21
Precinct,132,32,32,32
Precinct,133,9,9,9
Precinct,134,27,27,27
Precinct,135,20,20,20
Precinct,136,19,19,19
Precinct,137,16,16,16
Precinct,138,13,13,13
Precinct,139,50,50,50
Precinct,140,25,25,25
Precinct,141,51,51,51
Precinct,142,27,27,27
Precinct,143,31,31,31
Precinct,144,*,0,0
Precinct,145,*,0,0
Precinct,146,17,17,17
Precinct,147,12,12,12
Precinct,148,40,40,40
Precinct,149,28,28,28
Precinct,150,32,32,32
Precinct,151,*,0,0
Precinct,152,34,34,34
Precinct,153,34,34,34
Precinct,154,*,0,0
Precinct,155,13,13,13
Precinct,156,*,0,0
Precinct,157,12,12,12
Precinct,158,9,9,9
Precinct,159,6,6,6
Precinct,160,*,0,0
Precinct,161,31,31,31
Precinct,162,18,18,18
Precinct,163,*,*,5
Precinct,164,6,6,6
Precinct,165,8,8,8
Precinct,166,20,20,20
Precinct,167,*,0,0
Precinct,168,*,0,0
Precinct,169,*,0,0
Precinct,170,*,0,0
Precinct,171,29,29,29
Precinct,172,24,24,24
Precinct,173,21,21,21
Precinct,174,16,16,16
Precinct,175,24,24,24
Precinct,176,40,40,40
Precinct,177,36,36,36
Precinct,178,29,29,29
Precinct,179,17,17,17
Precinct,180,13,13,13
Precinct,181,31,31,31
Precinct,182,42,42,42
Precinct,183,12,12,12
Precinct,184,11,11,11
Precinct,185,35,35,35
Precinct,186,8,8,8
Precinct,187,18,18,18
Precinct,188,17,17,17
Precinct,189,*,*,5
Precinct,190,14,14,14
Precinct,Voter Privacy,37,37,37
County,Eddy,3428,3428,3428
Precinct,9,92,92,92
Precinct,10,29,29,29
Precinct,11,11,11,11
Precinct,12,10,10,10
Precinct,13,41,41,41
Precinct,14,25,25,25
Precinct,15,56,56,56
Precinct,16,75,75,75
Precinct,17,108,108,108
Precinct,18,100,100,100
Precinct,19,143,143,143
Precinct,20,57,57,57
Precinct,21,26,26,26
Precinct,23,57,57,57
Precinct,24,153,153,153
Precinct,25,50,50,50
Precinct,26,75,75,75
Precinct,27,104,104,104
Precinct,28,128,128,128
Precinct,29,8,8,8
Precinct,30,19,19,19
Precinct,32,57,57,57
Precinct,33,109,109,109
Precinct,34,108,108,108
Precinct,35,173,173,173
Precinct,36,204,204,204
Precinct,37,159,159,159
Precinct,38,34,34,34
Precinct,39,87,87,87
Precinct,40,39,39,39
Precinct,42,8,8,8
Precinct,44,50,50,50
Precinct,45,148,148,148
Precinct,47,109,109,109
Precinct,48,93,93,93
Precinct,49,67,67,67
Precinct,50,121,121,121
Precinct,51,158,158,158
Precinct,52,208,208,208
Precinct,54,129,129,129
Precinct,Voter Privacy,0,0,0
County,Grant,1230,1230,1230
Precinct,1,84,84,84
Precinct,2,44,44,44
Precinct,3,6,6,6
Precinct,4,10,10,10
Precinct,5,89,89,89
Precinct,6,10,10,10
Precinct,7,38,38,38
Precinct,8,62,62,62
Precinct,9,12,12,12
Precinct,10,19,19,19
Precinct,11,63,63,63
Precinct,12,52,52,52
Precinct,13,47,47,47
Precinct,14,49,49,49
Precinct,15,38,38,38
Precinct,16,44,44,44
Precinct,17,30,30,30
Precinct,18,17,17,17
Precinct,19,15,15,15
Precinct,20,25,25,25
Precinct,21,*,0,0
Precinct,22,14,14,14
Precinct,23,12,12,12
Precinct,24,15,15,15
Precinct,25,7,7,7
Precinct,26,14,14,14
Precinct,27,9,9,9
Precinct,28,16,16,16
Precinct,29,27,27,27
Precinct,30,60,60,60
Precinct,31,15,15,15
Precinct,32,*,0,0
Precinct,33,40,40,40
Precinct,34,12,12,12
Precinct,35,12,12,12
Precinct,36,49,49,49
Precinct,37,63,63,63
Precinct,38,51,51,51
Precinct,39,57,57,57
Precinct,Voter Privacy,*,*,3
County,Hidalgo,232,232,232
Precinct,1 - Lordsburg/west,19,19,19
Precinct,2 - Lordsburge/central,10,10,10
