,,Martin Heinrich,Total Votes Cast,Total Ballots Cast
,,Democratic,,
Precinct,348,79,79,79
Precinct,349,60,60,60
Precinct,350,60,60,60
Precinct,351,133,133,133
Precinct,352,165,165,165
Precinct,353,95,95,95
Precinct,354,132,132,132
Precinct,355,222,222,222
Precinct,356,168,168,168
Precinct,357,75,75,75
Precinct,358,6,6,6
Precinct,359,68,68,68
Precinct,360,71,71,71
Precinct,361,40,40,40
Precinct,362,69,69,69
Precinct,363,*,*,5
Precinct,364,51,51,51
Precinct,365,60,60,60
Precinct,366,40,40,40
Precinct,367,16,16,16
Precinct,368,26,26,26
Precinct,369,57,57,57
Precinct,370,42,42,42
Precinct,371,176,176,176
Precinct,372,51,51,51
Precinct,373,65,65,65
Precinct,374,99,99,99
Precinct,375,26,26,26
Precinct,376,62,62,62
Precinct,377,162,162,162
Precinct,378,12,12,12
Precinct,379,16,16,16
Precinct,380,37,37,37
Precinct,381,127,127,127
Precinct,382,139,139,139
Precinct,383,102,102,102
Precinct,384,124,124,124
Precinct,385,106,106,106
Precinct,386,95,95,95
Precinct,387,123,123,123
Precinct,388,60,60,60
Precinct,389,36,36,36
Precinct,390,62,62,62
Precinct,391,86,86,86
Precinct,392,55,55,55
Precinct,393,47,47,47
Precinct,394,76,76,76
Precinct,395,68,68,68
Precinct,396,138,138,138
Precinct,397,48,48,48
Precinct,398,47,47,47
Precinct,399,69,69,69
Precinct,400,49,49,49
Precinct,401,68,68,68
Precinct,402,135,135,135
Precinct,403,72,72,72
Precinct,404,109,109,109
Precinct,405,94,94,94
Precinct,406,49,49,49
Precinct,407,73,73,73
Precinct,408,89,89,89
Precinct,409,30,30,30
Precinct,410,108,108,108
Precinct,411,26,26,26
Precinct,412,87,87,87
Precinct,413,63,63,63
Precinct,414,38,38,38
Precinct,415,43,43,43
Precinct,416,67,67,67
Precinct,417,77,77,77
Precinct,418,90,90,90
Precinct,419,62,62,62
Precinct,420,67,67,67
Precinct,421,103,103,103
Precinct,422,48,48,48
Precinct,423,59,59,59
Precinct,424,47,47,47
Precinct,425,59,59,59
Precinct,426,71,71,71
Precinct,427,53,53,53
Precinct,428,120,120,120
Precinct,429,39,39,39
Precinct,430,76,76,76
Precinct,431,59,59,59
Precinct,432,102,102,102
Precinct,433,53,53,53
Precinct,434,49,49,49
Precinct,435,94,94,94
Precinct,436,71,71,71
Precinct,437,60,60,60
Precinct,438,10,10,10
Precinct,439,78,78,78
Precinct,440,54,54,54
Precinct,441,71,71,71
Precinct,442,65,65,65
Precinct,443,72,72,72
Precinct,444,61,61,61
Precinct,445,63,63,63
Precinct,446,81,81,81
Precinct,447,54,54,54
Precinct,448,40,40,40
Precinct,449,24,24,24
Precinct,450,72,72,72
Precinct,451,62,62,62
Precinct,452,70,70,70
Precinct,453,82,82,82
Precinct,454,44,44,44
Precinct,455,61,61,61
Precinct,456,60,60,60
Precinct,457,72,72,72
Precinct,458,25,25,25
Precinct,459,74,74,74
Precinct,460,113,113,113
Precinct,461,63,63,63
Precinct,462,41,41,41
Precinct,463,52,52,52
Precinct,464,53,53,53
Precinct,465,26,26,26
Precinct,466,82,82,82
Precinct,467,58,58,58
Precinct,468,122,122,122
Precinct,469,80,80,80
Precinct,470,86,86,86
Precinct,471,59,59,59
Precinct,472,43,43,43
Precinct,473,51,51,51
Precinct,474,56,56,56
Precinct,475,62,62,62
Precinct,476,66,66,66
Precinct,477,31,31,31
Precinct,478,63,63,63
Precinct,479,49,49,49
Precinct,480,76,76,76
Precinct,481,36,36,36
Precinct,482,99,99,99
Precinct,483,60,60,60
Precinct,484,66,66,66
Precinct,485,112,112,112
Precinct,486,78,78,78
Precinct,487,83,83,83
Precinct,488,128,128,128
Precinct,489,58,58,58
Precinct,490,78,78,78
Precinct,491,63,63,63
Precinct,492,63,63,63
Precinct,493,77,77,77
Precinct,494,86,86,86
Precinct,495,71,71,71
Precinct,496,76,76,76
Precinct,497,97,97,97
Precinct,498,97,97,97
Precinct,499,91,91,91
Precinct,500,132,132,132
Precinct,501,55,55,55
Precinct,502,58,58,58
Precinct,503,50,50,50
Precinct,504,50,50,50
Precinct,505,55,55,55
Precinct,506,69,69,69
Precinct,507,60,60,60
Precinct,508,48,48,48
Precinct,509,48,48,48
Precinct,510,45,45,45
Precinct,511,99,99,99
Precinct,512,39,39,39
Precinct,513,52,52,52
Precinct,514,64,64,64
Precinct,515,46,46,46
Precinct,516,49,49,49
Precinct,517,39,39,39
Precinct,518,50,50,50
Precinct,519,43,43,43
Precinct,520,44,44,44
Precinct,521,85,85,85
Precinct,522,53,53,53
Precinct,523,64,64,64
Precinct,524,28,28,28
Precinct,525,87,87,87
Precinct,526,102,102,102
Precinct,527,25,25,25
Precinct,528,24,24,24
Precinct,529,50,50,50
Precinct,530,100,100,100
Precinct,531,53,53,53
Precinct,532,60,60,60
Precinct,533,53,53,53
Precinct,534,81,81,81
Precinct,535,60,60,60
Precinct,536,37,37,37
Precinct,537,80,80,80
Precinct,538,77,77,77
Precinct,539,102,102,102
Precinct,540,50,50,50
Precinct,541,44,44,44
Precinct,542,66,66,66
Precinct,543,37,37,37
Precinct,544,69,69,69
Precinct,545,81,81,81
Precinct,546,62,62,62
Precinct,547,57,57,57
Precinct,548,91,91,91
Precinct,549,75,75,75
Precinct,550,86,86,86
Precinct,551,18,18,18
Precinct,552,72,72,72
Precinct,553,61,61,61
Precinct,554,85,85,85
Precinct,555,73,73,73
Precinct,556,61,61,61
Precinct,557,50,50,50
Precinct,558,73,73,73
Precinct,559,80,80,80
Precinct,560,73,73,73
Precinct,561,37,37,37
Precinct,562,109,109,109
Precinct,563,53,53,53
Precinct,564,51,51,51
Precinct,565,73,73,73
Precinct,566,101,101,101
Precinct,567,12,12,12
Precinct,568,43,43,43
Precinct,569,85,85,85
Precinct,570,59,59,59
Precinct,571,34,34,34
Precinct,572,35,35,35
Precinct,573,41,41,41
Precinct,574,85,85,85
Precinct,575,80,80,80
Precinct,576,65,65,65
Precinct,577,46,46,46
Precinct,578,61,61,61
Precinct,579,85,85,85
Precinct,580,41,41,41
Precinct,581,30,30,30
Precinct,582,43,43,43
Precinct,583,48,48,48
Precinct,584,47,47,47
Precinct,585,65,65,65
Precinct,586,72,72,72
Precinct,587,66,66,66
Precinct,588,85,85,85
Precinct,589,34,34,34
Precinct,590,60,60,60
Precinct,591,6,6,6
Precinct,592,47,47,47
