,,Martin Heinrich,Total Votes Cast,Total Ballots Cast
,,Democratic,,
Precinct,22,26,26,26
Precinct,23,15,15,15
Precinct,24,13,13,13
Precinct,25,16,16,16
Precinct,26,9,9,9
Precinct,27,53,53,53
Precinct,28,45,45,45
Precinct,29,28,28,28
Precinct,30,11,11,11
Precinct,31,8,8,8
Precinct,32,25,25,25
Precinct,33,17,17,17
Precinct,34,86,86,86
Precinct,35,68,68,68
Precinct,36,11,11,11
Precinct,37,227,227,227
Precinct,38,123,123,123
Precinct,39,103,103,103
Precinct,40,76,76,76
Precinct,41,92,92,92
Precinct,42,74,74,74
Precinct,43,68,68,68
Precinct,44,129,129,129
Precinct,45,80,80,80
Precinct,46,15,15,15
Precinct,47,85,85,85
Precinct,Voter Privacy,0,0,0
County,Torrance,578,578,578
Precinct,1,36,36,36
Precinct,2,10,10,10
Precinct,3,22,22,22
Precinct,4,27,27,27
Precinct,5,45,45,45
Precinct,6,41,41,41
Precinct,7,28,28,28
Precinct,8,15,15,15
Precinct,9,50,50,50
Precinct,10,27,27,27
Precinct,11,12,12,12
Precinct,12,10,10,10
Precinct,13,61,61,61
Precinct,14,*,0,0
Precinct,15,16,16,16
Precinct,16,32,32,32
Precinct,17,23,23,23
Precinct,18,35,35,35
Precinct,19,14,14,14
Precinct,20,18,18,18
Precinct,21,25,25,25
Precinct,22,29,29,29
Precinct,Voter Privacy,*,*,2
County,Union,100,100,100
Precinct,1,16,16,16
Precinct,4,27,27,27
Precinct,6,28,28,28
Precinct,7,19,19,19
Precinct,8,*,*,5
Precinct,9,*,*,5
Precinct,Voter Privacy,0,0,0
County,Valencia,3338,3338,3338
Precinct,1,23,23,23
Precinct,2,44,44,44
Precinct,3,85,85,85
Precinct,4,49,49,49
Precinct,5,39,39,39
Precinct,6,56,56,56
Precinct,7,60,60,60
Precinct,8,24,24,24
Precinct,9,76,76,76
Precinct,10,58,58,58
Precinct,11,56,56,56
Precinct,12,80,80,80
Precinct,13,64,64,64
Precinct,14,82,82,82
Precinct,15,42,42,42
Precinct,16,22,22,22
Precinct,17,70,70,70
Precinct,18,48,48,48
Precinct,19,35,35,35
Precinct,20,21,21,21
Precinct,21,84,84,84
Precinct,22,49,49,49
Precinct,23,93,93,93
Precinct,24,*,0,0
Precinct,25,31,31,31
Precinct,26,35,35,35
Precinct,27,81,81,81
Precinct,28,19,19,19
Precinct,29,46,46,46
Precinct,30,36,36,36
Precinct,31,39,39,39
Precinct,32,35,35,35
Precinct,33,30,30,30
Precinct,34,21,21,21
Precinct,35,34,34,34
Precinct,36,35,35,35
Precinct,37,58,58,58
Precinct,38,38,38,38
Precinct,39,156,156,156
Precinct,40,42,42,42
Precinct,41,83,83,83
Precinct,42,80,80,80
Precinct,43,75,75,75
Precinct,44,43,43,43
Precinct,45,49,49,49
Precinct,46,55,55,55
Precinct,47,73,73,73
Precinct,48,93,93,93
Precinct,49,23,23,23
Precinct,50,18,18,18
Precinct,51,31,31,31
Precinct,52,50,50,50
Precinct,53,20,20,20
Precinct,54,56,56,56
Precinct,55,100,100,100
Precinct,56,30,30,30
Precinct,57,66,66,66
Precinct,58,45,45,45
Precinct,59,46,46,46
Precinct,60,88,88,88
Precinct,61,41,41,41
Precinct,62,39,39,39
Precinct,63,21,21,21
Precinct,64,36,36,36
Precinct,65,48,48,48
Precinct,66,32,32,32
Precinct,Voter Privacy,*,*,1
