source_id,state_code,election_date,source_url,publication_url,sha256,candidate_rows,contests,coverage
co-2024-primary,CO,2024-06-25,https://historicalelectiondata.coloradosos.gov/api/download_search.csv?search=%7B%22global%22%3A%7B%22years%22%3A%7B%22from%22%3A2024%2C%22to%22%3A2024%7D%7D%2C%22ballotQuestions%22%3A%7B%22text%22%3A%22%22%2C%22types%22%3A%5B%5D%2C%22number%22%3A%22%22%2C%22divisions%22%3A%5B%5D%7D%2C%22contests%22%3A%7B%22candidates%22%3A%5B%5D%2C%22offices%22%3A%5B%5D%2C%22divisions%22%3A%5B%5D%7D%2C%22voterStats%22%3Afalse%2C%22stages%22%3A%5B%5D%2C%22specialElectionsOnly%22%3Afalse%7D,https://historicalelectiondata.coloradosos.gov/search?df=2024&dt=2024,7b5ef2583996359fcf97aa2c373369bac16f538b79b6606f839cc30e8233fd5a,31,16,reported_primary_returns_only; uncontested nominations separate
al-2024-primary,AL,2024-03-05,https://www.sos.alabama.gov/sites/default/files/election-data/2024-04/2024%20Primary%20Precinct%20Results.ZIP,https://www.sos.alabama.gov/alabama-votes/voter/election-data,8423328e37a00b430d23ea034547bc354d2c71f4038c950a4dc882aa08333cd2,35,8,reported_primary_returns_only; uncontested nominations separate
al-2026-primary,AL,2026-05-19,https://www.sos.alabama.gov/sites/default/files/election-data/2026-07/2026_Primary_Election.zip,https://www.sos.alabama.gov/alabama-votes/voter/election-data,812eb569d37138a5498b6113b0c708ca0d793bca252ee762798b0482d5a05d3d,29,8,reported_primary_returns_only; uncontested nominations separate
me-2024-senate-dem,ME,2024-06-11,https://www.maine.gov/sos/sites/maine.gov.sos/files/content/assets/1-20US-20Senate-20Dem-20--20FINAL.xlsx,https://www.maine.gov/sos/node/2479#state-primary,47d12313b62aef3eade3e65c0ca584b1509eceaa400fbb994b2c6ec264027b3b,1,1,reported_primary_returns_only; uncontested nominations separate
me-2024-senate-rep,ME,2024-06-11,https://www.maine.gov/sos/sites/maine.gov.sos/files/content/assets/1-20US-20Senate-20Rep-20--20FINAL.xlsx,https://www.maine.gov/sos/node/2479#state-primary,125b5be54a83dfeb2ef2ddda3226699f35abe7389204b00063eec630155d0db9,1,1,reported_primary_returns_only; uncontested nominations separate
me-2024-house-01-dem,ME,2024-06-11,https://www.maine.gov/sos/sites/maine.gov.sos/files/content/assets/2-20Rep-20to-20Congress-20Dist-201-20Dem-20--20FINAL.xlsx,https://www.maine.gov/sos/node/2479#state-primary,d5bc8beab80e6d93b0d46c925b36d604e2168b339545b92a960c928a5061179e,1,1,reported_primary_returns_only; uncontested nominations separate
me-2024-house-01-rep,ME,2024-06-11,https://www.maine.gov/sos/sites/maine.gov.sos/files/content/assets/2-20Rep-20to-20Congress-20Dist-201-20Rep-20-FINAL.xlsx,https://www.maine.gov/sos/node/2479#state-primary,e3b5d8ad69bfac213daa5a0a5c10f3f7f3bc6aba3bf82ed2ea5c760fea60e908,2,1,reported_primary_returns_only; uncontested nominations separate
me-2024-house-02-dem,ME,2024-06-11,https://www.maine.gov/sos/sites/maine.gov.sos/files/content/assets/3-20Rep-20to-20Congress-20Dist-202-20Dem--20FINAL.xlsx,https://www.maine.gov/sos/node/2479#state-primary,9b52fa0124f30b6bc3fd296b52d81270720ce49ddcefe4c6ef11412d77ab13d4,1,1,reported_primary_returns_only; uncontested nominations separate
me-2024-house-02-rep,ME,2024-06-11,https://www.maine.gov/sos/sites/maine.gov.sos/files/content/assets/3-20Rep-20to-20Congress-20Dist-202-20Rep-20-FINAL.xlsx,https://www.maine.gov/sos/node/2479#state-primary,f9389e6b2cb5033c448a274f7bc480de75d399f4ea1b22e2c1e310b9067fc136,2,1,reported_primary_returns_only; uncontested nominations separate
me-2024-house-01-green,ME,2024-06-11,https://www.maine.gov/sos/sites/maine.gov.sos/files/content/assets/Green-20Rep-20to-20Congress-20--20FINAL.xlsx,https://www.maine.gov/sos/node/2479#state-primary,0e8815c9ec55aa2f045a5f38d76e591b9ab6f2f3f4ef9c8be25a1ef9048a9c4f,1,1,reported_primary_returns_only; uncontested nominations separate
ri-2024-primary,RI,2024-09-10,https://elections.ri.gov/sites/g/files/xkgbur756/files/2024-12/Primary%2024%20Summary%20EX.xlsx,https://elections.ri.gov/elections/previous-election-results,144da689d7051fa7ae6c05443f858159dd90d165777284c2a266b42e050bd2bd,8,6,reported_primary_returns_only; uncontested nominations separate
ri-2026-primary,RI,2026-09-09,https://elections.ri.gov/sites/g/files/xkgbur756/files/2026-09/Prim26_Summary.pdf,https://elections.ri.gov/elections/previous-election-results,35af3130ea9c7a681008272cea77c89c39b86c0171c57bd5c9a9a17724709ab2,9,6,reported_primary_returns_only; uncontested nominations separate
me-2026-senate-dem,ME,2026-06-09,https://www.maine.gov/sos/sites/maine.gov.sos/files/inline-files/US%20Senate%20DEM%20-%20FINAL.xlsx,https://www.maine.gov/sos/elections-voting/election-results-data,4a0589f56c18e9ef8d54aab13d673a4856c713ca81a277ad6412159fa9091a5d,4,1,reported_primary_returns_only; uncontested nominations separate
me-2026-senate-rep,ME,2026-06-09,https://www.maine.gov/sos/sites/maine.gov.sos/files/inline-files/US%20Senate%20REP%20-%20FINAL.xlsx,https://www.maine.gov/sos/elections-voting/election-results-data,dcc924fc76a39c30c759a3756e35579a9d70d502ee9a0315bd9c6d03e981a854,1,1,reported_primary_returns_only; uncontested nominations separate
me-2026-house-01-dem,ME,2026-06-09,https://www.maine.gov/sos/sites/maine.gov.sos/files/inline-files/Rep%20to%20Congress%20Dist%201%20FINAL.xlsx,https://www.maine.gov/sos/elections-voting/election-results-data,18656f07026c2dd1532f8597f920295f13700ca7ab7b1e7e841c805f0a16c11a,1,1,reported_primary_returns_only; uncontested nominations separate
me-2026-house-01-rep,ME,2026-06-09,https://www.maine.gov/sos/sites/maine.gov.sos/files/inline-files/Rep%20to%20Congress%20Dis%201%20REP%20-%20FINAL.xlsx,https://www.maine.gov/sos/elections-voting/election-results-data,4895a15d9dad94bad3a04e374cfd9f3fe866589357c4657ea63fdfa0c85baf36,2,1,reported_primary_returns_only; uncontested nominations separate
me-2026-house-02-rep,ME,2026-06-09,https://www.maine.gov/sos/sites/maine.gov.sos/files/inline-files/Rep%20to%20Congress%20Dis%202%20REP%20-%20FINAL.xlsx,https://www.maine.gov/sos/elections-voting/election-results-data,b9d63f1352afeec680c9fbdbc9671d0b7e8ac7f0c36704f79c2847fa91b9ce76,1,1,reported_primary_returns_only; uncontested nominations separate
me-2026-house-02-dem,ME,2026-06-09,https://www.maine.gov/sos/sites/maine.gov.sos/files/inline-files/CG2%20Democratic%20RCV%20Summary%20Report.pdf,https://www.maine.gov/sos/elections-voting/election-results-data,d308d461baf07b2ca4ebaab087eea30ad118710e19a67c3c9c54cb8fcad2ad38,4,1,reported_primary_returns_only; uncontested nominations separate
vt-2024-primary,VT,2024-08-13,https://outside.vermont.gov/dept/sos/Elections_Division/election_info_resources/elections_results_data/2024_primary_election_official_report_canvassing_committee_united_states_vermont_statewide_offices.pdf,https://sos.vermont.gov/elections/election-info-resources/elections-results-data,a414c1dc46e1fa3ff5544dee58993e16e0cf02f0b626abb82ba665fd2face8e6,10,6,reported_primary_returns_only; uncontested nominations separate
vt-2026-primary,VT,2026-08-11,https://outside.vermont.gov/dept/sos/Elections_Division/election_info_resources/elections_results_data/2026-august-primary-official-canvass-town-by-town.pdf,https://sos.vermont.gov/elections/election-info-resources/elections-results-data,3781e28fc3f4eb0fc4adfad22225126feb93980e0e0e1dbaa0e5be9f6459b9db,6,3,reported_primary_returns_only; uncontested nominations separate
va-2024-dem-primary,VA,2024-06-18,https://enr.elections.virginia.gov/cdn/results/d2c804ee-4ec2-46bb-91d7-5b41526eab03/Election%20Results_5c76b94b-7514-4ee2-bb48-004a3f19dc3d.csv,https://enr.elections.virginia.gov/results/public/Virginia/elections/2024_June_Democratic_Primary,0ade505757c9adc60b17341e253564471c94a3e4b8887258bde6a6ff581c192c,28,6,reported_primary_returns_only; uncontested nominations separate
va-2024-rep-primary,VA,2024-06-18,https://enr.elections.virginia.gov/cdn/results/d2c804ee-4ec2-46bb-91d7-5b41526eab03/Election%20Results_c5f7d73b-476c-463e-ad9b-162f68905703.csv,https://enr.elections.virginia.gov/results/public/Virginia/elections/2024_June_Republican_Primary,c9c44a96cbdbdb0fee68220bb8b7df34344be1ed8ee2aa5c800317095513c887,17,4,reported_primary_returns_only; uncontested nominations separate
va-2026-dem-primary,VA,2026-08-04,https://enr.elections.virginia.gov/cdn/results/d2c804ee-4ec2-46bb-91d7-5b41526eab03/Election%20Results_e8e26b96-2247-49b6-8ca5-cedc4d01419e.csv,https://enr.elections.virginia.gov/results/public/virginia/elections/2026-August-Democratic-Primary,4a70e3a2972baf7de3b6ac95c662c021cd7d16712f50e04ba4944bdb36d34170,22,5,reported_primary_returns_only; uncontested nominations separate
va-2026-rep-primary,VA,2026-08-04,https://enr.elections.virginia.gov/cdn/results/d2c804ee-4ec2-46bb-91d7-5b41526eab03/Election%20Results_d34af9a5-2991-46c9-b1f4-afd8c4b82765.csv,https://enr.elections.virginia.gov/results/public/virginia/elections/2026-August-Republican-Primary,33917d7f3a6a41db8044207abb20ea8f96a58a7c6b8f44ff6ccb21d77d83992e,12,4,reported_primary_returns_only; uncontested nominations separate
ca-2024-primary,CA,2024-03-05,https://elections.cdn.sos.ca.gov/sov/2024-primary/sov/csv-all-candidates-updated.xlsx,https://www.sos.ca.gov/elections/prior-elections/statewide-election-results/pres-prim-march-2024/statement-vote,16a6b0cd10d93ee1e8b363208f5cc6813595d78cd9aa8c1632b88d1de8e589e1,284,54,reported_primary_returns_only; uncontested nominations separate
ca-2026-primary,CA,2026-06-02,https://elections.cdn.sos.ca.gov/sov/2026-primary/sov/csv-voter-nominated.xlsx,https://www.sos.ca.gov/elections/prior-elections/statewide-election-results/primary-election-june-2-2026/statement-vote,d5950110771e66e0c94b68404abb8fdb7a031e8130bf81f1452514a3f8042b13,297,52,reported_primary_returns_only; uncontested nominations separate
fl-2024-primary,FL,2024-08-20,https://dos.fl.gov/media/708691/2024-pri-outputofficial.zip,https://dos.fl.gov/elections/data-statistics/elections-data/precinct-level-election-results/,bcf89a81199dfcbc4a775207da2f0888c3d48d9746ad68add0b220e1da7ea3eb,83,32,reported_primary_returns_only; uncontested nominations separate
nc-2024-primary,NC,2024-03-05,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_03_05/results_pct_20240305.zip,https://www.ncsbe.gov/results-data/election-results/historical-election-results-data,0b0475a6df5ecd0d47a21ee51c96782934de768f8ef60eb3a9ae7d83021fea30,51,13,reported_primary_returns_only; uncontested nominations separate
nc-2026-primary,NC,2026-03-03,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2026_03_03/results_pct_20260303.zip,https://www.ncsbe.gov/results-data/election-results/historical-election-results-data,d5450bfad8386ab12cf69f558776c79bc2301f89d33cce510de0fb7a26add484,71,21,reported_primary_returns_only; uncontested nominations separate
nc-2019-cd03-special-primary,NC,2019-04-30,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2019_04_30/results_pct_20190430.zip,https://www.ncsbe.gov/results-data/election-results/historical-election-results-data,e9cc9942154f09182a28775172e9c8206543c23a1f0f95365e4f0e2ddd7e1c1e,25,3,reported_primary_returns_only; uncontested nominations separate
nc-2019-cd09-repeat-primary,NC,2019-05-14,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2019_05_14/results_pct_20190514.zip,https://www.ncsbe.gov/results-data/election-results/historical-election-results-data,6d87bdecdc2c8ee936c922174f89bf2a884f92ac21ed35ccae94f2bc89049b03,10,1,reported_primary_returns_only; uncontested nominations separate
nc-2019-cd03-special-runoff,NC,2019-07-09,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2019_07_09/results_pct_20190709.zip,https://www.ncsbe.gov/results-data/election-results/historical-election-results-data,b87cddefdb3236e93672578a1381224b07416b5cf712c1b85a4ec38e2752f09a,2,1,reported_primary_returns_only; uncontested nominations separate
