term,positive_mean_tfidf,negative_mean_tfidf,tfidf_difference,positive_npmi,negative_npmi,npmi_difference,composite_score,favored_group
boston,0.005233841209,0.0,0.005233841209,0.446655447034,-1.0,1.446655447034,1.451889288243,hot
injustice,0.004657532198,0.0,0.004657532198,0.446655447034,-1.0,1.446655447034,1.451312979232,hot
defeat,0.004504924267,0.0,0.004504924267,0.446655447034,-1.0,1.446655447034,1.451160371301,hot
construct,0.004217105884,0.0,0.004217105884,0.446655447034,-1.0,1.446655447034,1.450872552918,hot
movements,0.004182290172,0.0,0.004182290172,0.446655447034,-1.0,1.446655447034,1.450837737207,hot
east,0.008837789002,0.0,0.008837789002,0.417043196823,-1.0,1.417043196823,1.425880985825,hot
neither,0.003900299478,0.0,0.003900299478,0.412316594676,-1.0,1.412316594676,1.416216894154,hot
fascism,0.005771080074,0.0,0.005771080074,0.403362113193,-1.0,1.403362113193,1.409133193267,hot
enemies,0.003396960061,0.0,0.003396960061,0.403362113193,-1.0,1.403362113193,1.406759073255,hot
select,0.003387328834,0.0,0.003387328834,0.403362113193,-1.0,1.403362113193,1.406749442027,hot
overcoming,0.00291208878,0.0,0.00291208878,0.403362113193,-1.0,1.403362113193,1.406274201974,hot
unionized,0.002791754533,0.0,0.002791754533,0.403362113193,-1.0,1.403362113193,1.406153867726,hot
elite,0.002487234631,0.0,0.002487234631,0.403362113193,-1.0,1.403362113193,1.405849347824,hot
isn,0.002270276734,0.0,0.002270276734,0.403362113193,-1.0,1.403362113193,1.405632389927,hot
ruling,0.003505315643,0.0,0.003505315643,0.384259709394,-1.0,1.384259709394,1.387765025037,hot
donor,0.003308159464,0.0,0.003308159464,0.384259709394,-1.0,1.384259709394,1.387567868858,hot
streets,0.003340643947,0.0,0.003340643947,0.360537950892,-1.0,1.360537950892,1.363878594839,hot
center,0.00326722345,0.0,0.00326722345,0.360537950892,-1.0,1.360537950892,1.363805174343,hot
gaza,0.003491453279,0.0,0.003491453279,0.339989229007,-1.0,1.339989229007,1.343480682286,hot
donald,0.002356341504,0.0,0.002356341504,0.280631974216,-1.0,1.280631974216,1.28298831572,hot
payer,0.002748133369,0.0,0.002748133369,0.275318147335,-1.0,1.275318147335,1.278066280704,hot
allied,0.0020938159,0.0,0.0020938159,0.275318147335,-1.0,1.275318147335,1.277411963235,hot
restricted,0.0020938159,0.0,0.0020938159,0.275318147335,-1.0,1.275318147335,1.277411963235,hot
binary,0.001724318976,0.0,0.001724318976,0.275318147335,-1.0,1.275318147335,1.277042466312,hot
rank,0.00159891396,0.0,0.00159891396,0.275318147335,-1.0,1.275318147335,1.276917061295,hot
primarily,0.001542811716,0.0,0.001542811716,0.275318147335,-1.0,1.275318147335,1.276860959051,hot
reinstatement,0.001490513013,0.0,0.001490513013,0.275318147335,-1.0,1.275318147335,1.276808660349,hot
severance,0.001374066684,0.0,0.001374066684,0.275318147335,-1.0,1.275318147335,1.27669221402,hot
