TOTAL VOTER TURNOUT: 12,240,190
ElectionDate	OfficeCode(text)	DistrictCode(Text)	StatusCode	CountyCode	CountyName	OfficeDescription	PartyOrder	PartyDescription	CandidateID	CandidateLastName	CandidateFirstName	CandidateMiddleName	CandidateFormerName	CandidateVotes	WriteIn(W)/Uncommitted(Z)	Recount(*)	Nomindated(N)/Elected(E)
2026-08-04	4	0	0	2	ALGER	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647345	WRITE-IN				0	Y		
2026-08-04	4	0	0	2	ALGER	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647356	Nesbitt	Aric			21			
2026-08-04	4	0	0	2	ALGER	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647424	Johnson	Perry			431			
2026-08-04	4	0	0	3	ALLEGAN	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647216	Benson	Jocelyn			12481			
2026-08-04	4	0	0	3	ALLEGAN	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647228	Swanson	Christopher	Robert		1763			
2026-08-04	4	0	0	3	ALLEGAN	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647259	Cox	Mike			1522			
2026-08-04	4	0	0	3	ALLEGAN	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647295	James	John			8423			
2026-08-04	4	0	0	3	ALLEGAN	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647345	WRITE-IN				0	Y		
2026-08-04	4	0	0	3	ALLEGAN	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647356	Nesbitt	Aric			987			
2026-08-04	4	0	0	3	ALLEGAN	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647424	Johnson	Perry			6048			
2026-08-04	4	0	0	4	ALPENA	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647216	Benson	Jocelyn			2877			
2026-08-04	4	0	0	4	ALPENA	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647228	Swanson	Christopher	Robert		601			
2026-08-04	4	0	0	4	ALPENA	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647259	Cox	Mike			481			
2026-08-04	4	0	0	4	ALPENA	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647295	James	John			1681			
2026-08-04	4	0	0	4	ALPENA	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647345	WRITE-IN				0	Y		
2026-08-04	4	0	0	4	ALPENA	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647356	Nesbitt	Aric			64			
2026-08-04	4	0	0	4	ALPENA	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647424	Johnson	Perry			1377			
2026-08-04	4	0	0	5	ANTRIM	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647216	Benson	Jocelyn			3298			
2026-08-04	4	0	0	5	ANTRIM	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647228	Swanson	Christopher	Robert		537			
2026-08-04	4	0	0	5	ANTRIM	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647259	Cox	Mike			585			
2026-08-04	4	0	0	5	ANTRIM	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647295	James	John			2196			
2026-08-04	4	0	0	5	ANTRIM	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647345	WRITE-IN				0	Y		
2026-08-04	4	0	0	5	ANTRIM	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647356	Nesbitt	Aric			61			
2026-08-04	4	0	0	5	ANTRIM	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647424	Johnson	Perry			1480			
2026-08-04	4	0	0	6	ARENAC	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647216	Benson	Jocelyn			887			
2026-08-04	4	0	0	6	ARENAC	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647228	Swanson	Christopher	Robert		681			
2026-08-04	4	0	0	6	ARENAC	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647259	Cox	Mike			295			
2026-08-04	4	0	0	6	ARENAC	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647295	James	John			1007			
2026-08-04	4	0	0	6	ARENAC	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647345	WRITE-IN				0	Y		
2026-08-04	4	0	0	6	ARENAC	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647356	Nesbitt	Aric			47			
2026-08-04	4	0	0	6	ARENAC	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647424	Johnson	Perry			1035			
2026-08-04	4	0	0	7	BARAGA	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647216	Benson	Jocelyn			657			
2026-08-04	4	0	0	7	BARAGA	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647228	Swanson	Christopher	Robert		96			
2026-08-04	4	0	0	7	BARAGA	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647259	Cox	Mike			149			
2026-08-04	4	0	0	7	BARAGA	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647295	James	John			502			
2026-08-04	4	0	0	7	BARAGA	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647345	WRITE-IN				0	Y		
2026-08-04	4	0	0	7	BARAGA	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647356	Nesbitt	Aric			19			
2026-08-04	4	0	0	7	BARAGA	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647424	Johnson	Perry			457			
2026-08-04	4	0	0	8	BARRY	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647216	Benson	Jocelyn			5895			
2026-08-04	4	0	0	8	BARRY	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647228	Swanson	Christopher	Robert		978			
2026-08-04	4	0	0	8	BARRY	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647259	Cox	Mike			948			
2026-08-04	4	0	0	8	BARRY	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647295	James	John			4040			
2026-08-04	4	0	0	8	BARRY	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647345	WRITE-IN				0	Y		
2026-08-04	4	0	0	8	BARRY	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647356	Nesbitt	Aric			198			
2026-08-04	4	0	0	8	BARRY	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647424	Johnson	Perry			3514			
2026-08-04	4	0	0	9	BAY	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647216	Benson	Jocelyn			8750			
2026-08-04	4	0	0	9	BAY	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647228	Swanson	Christopher	Robert		6562			
2026-08-04	4	0	0	9	BAY	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647259	Cox	Mike			1364			
2026-08-04	4	0	0	9	BAY	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647295	James	John			4921			
2026-08-04	4	0	0	9	BAY	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647345	WRITE-IN				0	Y		
2026-08-04	4	0	0	9	BAY	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647356	Nesbitt	Aric			213			
2026-08-04	4	0	0	9	BAY	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647424	Johnson	Perry			4097			
2026-08-04	4	0	0	10	BENZIE	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647216	Benson	Jocelyn			3301			
2026-08-04	4	0	0	10	BENZIE	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647228	Swanson	Christopher	Robert		477			
2026-08-04	4	0	0	10	BENZIE	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647259	Cox	Mike			465			
2026-08-04	4	0	0	10	BENZIE	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647295	James	John			1369			
2026-08-04	4	0	0	10	BENZIE	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647345	WRITE-IN				0	Y		
2026-08-04	4	0	0	10	BENZIE	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647356	Nesbitt	Aric			60			
2026-08-04	4	0	0	10	BENZIE	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647424	Johnson	Perry			1166			
2026-08-04	4	0	0	11	BERRIEN	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647216	Benson	Jocelyn			15299			
2026-08-04	4	0	0	11	BERRIEN	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647228	Swanson	Christopher	Robert		2209			
2026-08-04	4	0	0	11	BERRIEN	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647259	Cox	Mike			1639			
2026-08-04	4	0	0	11	BERRIEN	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647295	James	John			8829			
2026-08-04	4	0	0	11	BERRIEN	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647345	WRITE-IN				0	Y		
2026-08-04	4	0	0	11	BERRIEN	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647356	Nesbitt	Aric			890			
2026-08-04	4	0	0	11	BERRIEN	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647424	Johnson	Perry			4391			
2026-08-04	4	0	0	12	BRANCH	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647216	Benson	Jocelyn			2564			
2026-08-04	4	0	0	12	BRANCH	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647228	Swanson	Christopher	Robert		428			
2026-08-04	4	0	0	12	BRANCH	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647259	Cox	Mike			621			
2026-08-04	4	0	0	12	BRANCH	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647295	James	John			2250			
2026-08-04	4	0	0	12	BRANCH	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647345	WRITE-IN				0	Y		
2026-08-04	4	0	0	12	BRANCH	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647356	Nesbitt	Aric			83			
2026-08-04	4	0	0	12	BRANCH	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647424	Johnson	Perry			1719			
2026-08-04	4	0	0	13	CALHOUN	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647216	Benson	Jocelyn			11539			
2026-08-04	4	0	0	13	CALHOUN	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647228	Swanson	Christopher	Robert		1897			
2026-08-04	4	0	0	13	CALHOUN	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647259	Cox	Mike			1432			
2026-08-04	4	0	0	13	CALHOUN	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647295	James	John			5618			
2026-08-04	4	0	0	13	CALHOUN	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647345	WRITE-IN				0	Y		
2026-08-04	4	0	0	13	CALHOUN	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647356	Nesbitt	Aric			282			
2026-08-04	4	0	0	13	CALHOUN	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647424	Johnson	Perry			3757			
2026-08-04	4	0	0	14	CASS	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647216	Benson	Jocelyn			3461			
2026-08-04	4	0	0	14	CASS	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647228	Swanson	Christopher	Robert		616			
2026-08-04	4	0	0	14	CASS	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647259	Cox	Mike			660			
2026-08-04	4	0	0	14	CASS	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647295	James	John			3288			
2026-08-04	4	0	0	14	CASS	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647345	WRITE-IN				0	Y		
2026-08-04	4	0	0	14	CASS	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647356	Nesbitt	Aric			185			
2026-08-04	4	0	0	14	CASS	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647424	Johnson	Perry			1633			
2026-08-04	4	0	0	15	CHARLEVOIX	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647216	Benson	Jocelyn			3565			
2026-08-04	4	0	0	15	CHARLEVOIX	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647228	Swanson	Christopher	Robert		482			
2026-08-04	4	0	0	15	CHARLEVOIX	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647259	Cox	Mike			545			
2026-08-04	4	0	0	15	CHARLEVOIX	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647295	James	John			2046			
2026-08-04	4	0	0	15	CHARLEVOIX	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647345	WRITE-IN				0	Y		
2026-08-04	4	0	0	15	CHARLEVOIX	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647356	Nesbitt	Aric			78			
2026-08-04	4	0	0	15	CHARLEVOIX	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647424	Johnson	Perry			1349			
2026-08-04	4	0	0	16	CHEBOYGAN	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647216	Benson	Jocelyn			2507			
2026-08-04	4	0	0	16	CHEBOYGAN	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647228	Swanson	Christopher	Robert		466			
2026-08-04	4	0	0	16	CHEBOYGAN	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647259	Cox	Mike			454			
2026-08-04	4	0	0	16	CHEBOYGAN	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647295	James	John			1924			
2026-08-04	4	0	0	16	CHEBOYGAN	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647345	WRITE-IN				0	Y		
2026-08-04	4	0	0	16	CHEBOYGAN	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647356	Nesbitt	Aric			64			
2026-08-04	4	0	0	16	CHEBOYGAN	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647424	Johnson	Perry			1737			
2026-08-04	4	0	0	17	CHIPPEWA	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647216	Benson	Jocelyn			2929			
2026-08-04	4	0	0	17	CHIPPEWA	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647228	Swanson	Christopher	Robert		593			
2026-08-04	4	0	0	17	CHIPPEWA	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647259	Cox	Mike			593			
2026-08-04	4	0	0	17	CHIPPEWA	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647295	James	John			1782			
2026-08-04	4	0	0	17	CHIPPEWA	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647345	WRITE-IN				0	Y		
2026-08-04	4	0	0	17	CHIPPEWA	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647356	Nesbitt	Aric			71			
2026-08-04	4	0	0	17	CHIPPEWA	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647424	Johnson	Perry			1499			
2026-08-04	4	0	0	18	CLARE	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647216	Benson	Jocelyn			2097			
2026-08-04	4	0	0	18	CLARE	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647228	Swanson	Christopher	Robert		762			
2026-08-04	4	0	0	18	CLARE	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647259	Cox	Mike			577			
2026-08-04	4	0	0	18	CLARE	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647295	James	John			1901			
2026-08-04	4	0	0	18	CLARE	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647345	WRITE-IN				0	Y		
2026-08-04	4	0	0	18	CLARE	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647356	Nesbitt	Aric			62			
2026-08-04	4	0	0	18	CLARE	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647424	Johnson	Perry			1613			
2026-08-04	4	0	0	19	CLINTON	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647216	Benson	Jocelyn			10906			
2026-08-04	4	0	0	19	CLINTON	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647228	Swanson	Christopher	Robert		2071			
2026-08-04	4	0	0	19	CLINTON	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647259	Cox	Mike			1291			
2026-08-04	4	0	0	19	CLINTON	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647295	James	John			4827			
2026-08-04	4	0	0	19	CLINTON	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647345	WRITE-IN				0	Y		
2026-08-04	4	0	0	19	CLINTON	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647356	Nesbitt	Aric			118			
2026-08-04	4	0	0	19	CLINTON	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647424	Johnson	Perry			2831			
2026-08-04	4	0	0	20	CRAWFORD	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647216	Benson	Jocelyn			1231			
2026-08-04	4	0	0	20	CRAWFORD	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647228	Swanson	Christopher	Robert		331			
2026-08-04	4	0	0	20	CRAWFORD	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647259	Cox	Mike			342			
2026-08-04	4	0	0	20	CRAWFORD	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647295	James	John			1021			
2026-08-04	4	0	0	20	CRAWFORD	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647345	WRITE-IN				0	Y		
2026-08-04	4	0	0	20	CRAWFORD	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647356	Nesbitt	Aric			51			
2026-08-04	4	0	0	20	CRAWFORD	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647424	Johnson	Perry			881			
2026-08-04	4	0	0	21	DELTA	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647216	Benson	Jocelyn			3728			
2026-08-04	4	0	0	21	DELTA	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647228	Swanson	Christopher	Robert		572			
2026-08-04	4	0	0	21	DELTA	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647259	Cox	Mike			743			
2026-08-04	4	0	0	21	DELTA	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647295	James	John			2508			
2026-08-04	4	0	0	21	DELTA	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647345	WRITE-IN				0	Y		
2026-08-04	4	0	0	21	DELTA	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647356	Nesbitt	Aric			108			
2026-08-04	4	0	0	21	DELTA	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647424	Johnson	Perry			2377			
2026-08-04	4	0	0	22	DICKINSON	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647216	Benson	Jocelyn			2150			
2026-08-04	4	0	0	22	DICKINSON	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647228	Swanson	Christopher	Robert		336			
2026-08-04	4	0	0	22	DICKINSON	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647259	Cox	Mike			391			
2026-08-04	4	0	0	22	DICKINSON	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647295	James	John			1638			
2026-08-04	4	0	0	22	DICKINSON	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647345	WRITE-IN				0	Y		
2026-08-04	4	0	0	22	DICKINSON	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647356	Nesbitt	Aric			81			
2026-08-04	4	0	0	22	DICKINSON	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647424	Johnson	Perry			1392			
2026-08-04	4	0	0	23	EATON	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647216	Benson	Jocelyn			15344			
2026-08-04	4	0	0	23	EATON	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647228	Swanson	Christopher	Robert		2634			
2026-08-04	4	0	0	23	EATON	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647259	Cox	Mike			1586			
2026-08-04	4	0	0	23	EATON	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647295	James	John			5397			
2026-08-04	4	0	0	23	EATON	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647345	WRITE-IN				0	Y		
2026-08-04	4	0	0	23	EATON	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647356	Nesbitt	Aric			171			
2026-08-04	4	0	0	23	EATON	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647424	Johnson	Perry			3623			
2026-08-04	4	0	0	24	EMMET	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647216	Benson	Jocelyn			5015			
2026-08-04	4	0	0	24	EMMET	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647228	Swanson	Christopher	Robert		714			
2026-08-04	4	0	0	24	EMMET	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647259	Cox	Mike			713			
2026-08-04	4	0	0	24	EMMET	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647295	James	John			2574			
2026-08-04	4	0	0	24	EMMET	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647345	WRITE-IN				0	Y		
2026-08-04	4	0	0	24	EMMET	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647356	Nesbitt	Aric			86			
2026-08-04	4	0	0	24	EMMET	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647424	Johnson	Perry			1608			
2026-08-04	4	0	0	25	GENESEE	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647216	Benson	Jocelyn			32984			
2026-08-04	4	0	0	25	GENESEE	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647228	Swanson	Christopher	Robert		29288			
2026-08-04	4	0	0	25	GENESEE	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647259	Cox	Mike			3905			
2026-08-04	4	0	0	25	GENESEE	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647295	James	John			15901			
2026-08-04	4	0	0	25	GENESEE	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647345	WRITE-IN				0	Y		
2026-08-04	4	0	0	25	GENESEE	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647356	Nesbitt	Aric			367			
2026-08-04	4	0	0	25	GENESEE	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647424	Johnson	Perry			10279			
2026-08-04	4	0	0	26	GLADWIN	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647216	Benson	Jocelyn			1566			
2026-08-04	4	0	0	26	GLADWIN	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647228	Swanson	Christopher	Robert		1066			
2026-08-04	4	0	0	26	GLADWIN	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647259	Cox	Mike			536			
2026-08-04	4	0	0	26	GLADWIN	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647295	James	John			1748			
2026-08-04	4	0	0	26	GLADWIN	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647345	WRITE-IN				0	Y		
2026-08-04	4	0	0	26	GLADWIN	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647356	Nesbitt	Aric			51			
2026-08-04	4	0	0	26	GLADWIN	GOVERNOR 4 YEAR TERM (1) POSITION	2	REPUBLICAN	647424	Johnson	Perry			1420			
2026-08-04	4	0	0	27	GOGEBIC	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647216	Benson	Jocelyn			1522			
2026-08-04	4	0	0	27	GOGEBIC	GOVERNOR 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	647228	Swanson	Christopher	Robert		209			
