term,positive_mean_tfidf,negative_mean_tfidf,tfidf_difference,positive_npmi,negative_npmi,npmi_difference,composite_score,favored_group
century,0.0,0.00307009577,-0.00307009577,-1.0,0.122763817551,-1.122763817551,-1.12583391332,cold
trump,0.0,0.00220431086,-0.00220431086,-1.0,0.123393122274,-1.123393122274,-1.125597433133,cold
spent,0.0,0.002787468156,-0.002787468156,-1.0,0.122368977206,-1.122368977206,-1.125156445362,cold
international,0.0,0.002556750065,-0.002556750065,-1.0,0.122368977206,-1.122368977206,-1.124925727271,cold
influence,0.0,0.001711464947,-0.001711464947,-1.0,0.122368977206,-1.122368977206,-1.124080442153,cold
pharmaceutical,0.0,0.001497846533,-0.001497846533,-1.0,0.122368977206,-1.122368977206,-1.123866823739,cold
else,0.0,0.001321351549,-0.001321351549,-1.0,0.122368977206,-1.122368977206,-1.123690328755,cold
men,0.0,0.001152078637,-0.001152078637,-1.0,0.122368977206,-1.122368977206,-1.123521055843,cold
vibrant,0.0,0.00115200559,-0.00115200559,-1.0,0.122368977206,-1.122368977206,-1.123520982796,cold
exists,0.0,0.001104503179,-0.001104503179,-1.0,0.122368977206,-1.122368977206,-1.123473480385,cold
racism,0.0,0.001029271593,-0.001029271593,-1.0,0.122368977206,-1.122368977206,-1.123398248799,cold
humanity,0.0,0.00085919313,-0.00085919313,-1.0,0.122368977206,-1.122368977206,-1.123228170336,cold
chronic,0.0,0.002081710374,-0.002081710374,-1.0,0.116828488801,-1.116828488801,-1.118910199175,cold
ideas,0.0,0.001276414293,-0.001276414293,-1.0,0.116828488801,-1.116828488801,-1.118104903094,cold
somerville,0.002896850561,0.0,0.002896850561,0.115148872162,-1.0,1.115148872162,1.118045722722,hot
focus,0.0,0.003636874119,-0.003636874119,-1.0,0.111195012339,-1.111195012339,-1.114831886459,cold
lifestyle,0.0,0.002120354619,-0.002120354619,-1.0,0.110161158296,-1.110161158296,-1.112281512915,cold
champion,0.0,0.001541140982,-0.001541140982,-1.0,0.110161158296,-1.110161158296,-1.111702299278,cold
finally,0.0,0.00140321841,-0.00140321841,-1.0,0.110161158296,-1.110161158296,-1.111564376706,cold
head,0.0,0.001388282784,-0.001388282784,-1.0,0.110161158296,-1.110161158296,-1.11154944108,cold
saving,0.0,0.001271449558,-0.001271449558,-1.0,0.110161158296,-1.110161158296,-1.111432607854,cold
attention,0.0,0.001269479292,-0.001269479292,-1.0,0.110161158296,-1.110161158296,-1.111430637588,cold
incentives,0.0,0.001229923682,-0.001229923682,-1.0,0.110161158296,-1.110161158296,-1.111391081978,cold
parties,0.0,0.001207885457,-0.001207885457,-1.0,0.110161158296,-1.110161158296,-1.111369043753,cold
savings,0.0,0.001096354942,-0.001096354942,-1.0,0.110161158296,-1.110161158296,-1.111257513238,cold
adult,0.0,0.001086293877,-0.001086293877,-1.0,0.110161158296,-1.110161158296,-1.111247452173,cold
partisan,0.0,0.001052007263,-0.001052007263,-1.0,0.110161158296,-1.110161158296,-1.111213165559,cold
underlying,0.0,0.00099336491,-0.00099336491,-1.0,0.110161158296,-1.110161158296,-1.111154523206,cold
purposes,0.0,0.000971151407,-0.000971151407,-1.0,0.110161158296,-1.110161158296,-1.111132309703,cold
badrun,0.0,0.000964895828,-0.000964895828,-1.0,0.110161158296,-1.110161158296,-1.111126054124,cold
rise,0.0,0.00093705507,-0.00093705507,-1.0,0.110161158296,-1.110161158296,-1.111098213366,cold
cooperation,0.0,0.000920000502,-0.000920000502,-1.0,0.110161158296,-1.110161158296,-1.111081158798,cold
produce,0.0,0.00091264503,-0.00091264503,-1.0,0.110161158296,-1.110161158296,-1.111073803326,cold
might,0.0,0.000890202376,-0.000890202376,-1.0,0.110161158296,-1.110161158296,-1.111051360672,cold
borders,0.0,0.000889110705,-0.000889110705,-1.0,0.110161158296,-1.110161158296,-1.111050269001,cold
quote,0.0,0.000825989509,-0.000825989509,-1.0,0.110161158296,-1.110161158296,-1.110987147805,cold
advancing,0.0,0.000797567173,-0.000797567173,-1.0,0.110161158296,-1.110161158296,-1.110958725469,cold
