state_code,cycle,election_date,stage,chamber,district,term,election_system,primary_party,coverage_status,result_rows,roster_rows,missing_reason,source_ids
OK,2026,2026-06-16,primary,House,01,regular,partisan_primary,Democratic,unopposed_roster_only,0,1,official candidate roster exists but no primary result contest,ok-2026-official-candidate-book
OK,2026,2026-06-16,primary,House,01,regular,partisan_primary,Republican,actual_results,11,0,,ok-2026-june-primary-results
OK,2026,2026-06-16,primary,House,02,regular,partisan_primary,Democratic,actual_results,2,0,,ok-2026-june-primary-results
OK,2026,2026-06-16,primary,House,02,regular,partisan_primary,Republican,actual_results,2,0,,ok-2026-june-primary-results
OK,2026,2026-06-16,primary,House,03,regular,partisan_primary,Democratic,actual_results,2,0,,ok-2026-june-primary-results
OK,2026,2026-06-16,primary,House,03,regular,partisan_primary,Republican,actual_results,2,0,,ok-2026-june-primary-results
OK,2026,2026-06-16,primary,House,04,regular,partisan_primary,Democratic,actual_results,2,0,,ok-2026-june-primary-results
OK,2026,2026-06-16,primary,House,04,regular,partisan_primary,Republican,actual_results,2,0,,ok-2026-june-primary-results
OK,2026,2026-06-16,primary,House,05,regular,partisan_primary,Democratic,actual_results,2,0,,ok-2026-june-primary-results
OK,2026,2026-06-16,primary,House,05,regular,partisan_primary,Republican,unopposed_roster_only,0,1,official candidate roster exists but no primary result contest,ok-2026-official-candidate-book
OK,2026,2026-06-16,primary,Senate,S,regular,partisan_primary,Democratic,actual_results,5,0,,ok-2026-june-primary-results
OK,2026,2026-06-16,primary,Senate,S,regular,partisan_primary,Republican,actual_results,5,0,,ok-2026-june-primary-results
OK,2026,2026-06-16,primary,Senate,S,regular,partisan_primary,Libertarian,unopposed_roster_only,0,1,official candidate roster exists but no primary result contest,ok-2026-official-candidate-book
OK,2026,2026-08-25,primary_runoff,Senate,S,regular,partisan_primary,Democratic,actual_results,2,0,,ok-2026-august-runoff-results
OK,2026,2026-08-25,primary_runoff,House,01,regular,partisan_primary,Republican,runoff_cancelled_after_withdrawal,0,0,second-place candidate withdrew after the June primary,
