source_pdf,page,total_page,chamber,district,primary_party,candidate_name,candidate_source_id,write_in,votes
2024-official-primary-results-us-house.pdf,15,15,House,11,Democratic,MIKIE SHERRILL,nj-2024-house-11-democratic-1,False,48539
2024-official-primary-results-us-house.pdf,15,15,House,11,Republican,JOSEPH BELNOME,nj-2024-house-11-republican-1,False,25608
2024-official-primary-results-us-house.pdf,15,15,House,11,Democratic,MARK DELOTTO,nj-2024-house-11-democratic-2,False,3309
2024-official-primary-results-us-house.pdf,15,15,House,11,Republican,JOHN F. SAUERS,nj-2024-house-11-republican-2,False,2425
2024-official-primary-results-us-house.pdf,16,16,House,11,Republican,RAAFAT BARSOOM,nj-2024-house-11-republican-3,False,1464
2024-official-primary-results-us-house.pdf,17,17,House,12,Democratic,BONNIE WATSON COLEMAN,nj-2024-house-12-democratic-1,False,43510
2024-official-primary-results-us-house.pdf,17,17,House,12,Republican,DARIUS MAYFIELD,nj-2024-house-12-republican-1,False,14753
2024-official-primary-results-us-house.pdf,18,18,House,12,Republican,THOMAS E. JONES JR.,nj-2024-house-12-republican-2,False,2732
2024-official-special-primary-results-us-house-10cd.pdf,1,1,House,10,Democratic,LAMONICA MCIVER,nj-2024-house-10-democratic-1,False,12507
2024-official-special-primary-results-us-house-10cd.pdf,1,1,House,10,Republican,CARMEN BUCCO,nj-2024-house-10-republican-1,False,2015
2024-official-special-primary-results-us-house-10cd.pdf,1,1,House,10,Democratic,DEREK ARMSTEAD,nj-2024-house-10-democratic-2,False,3596
2024-official-special-primary-results-us-house-10cd.pdf,1,1,House,10,Democratic,JERRY WALKER,nj-2024-house-10-democratic-3,False,2568
2024-official-special-primary-results-us-house-10cd.pdf,2,2,House,10,Democratic,DARRYL GODFREY,nj-2024-house-10-democratic-4,False,1815
2024-official-special-primary-results-us-house-10cd.pdf,2,2,House,10,Democratic,BRITTANY D. CLAYBROOKS,nj-2024-house-10-democratic-5,False,1377
2024-official-special-primary-results-us-house-10cd.pdf,2,2,House,10,Democratic,SHANA MELIUS,nj-2024-house-10-democratic-6,False,1196
2024-official-special-primary-results-us-house-10cd.pdf,2,2,House,10,Democratic,SHEILA MONTAGUE,nj-2024-house-10-democratic-7,False,966
2024-official-special-primary-results-us-house-10cd.pdf,3,3,House,10,Democratic,ALBERTA GORDON,nj-2024-house-10-democratic-8,False,756
2024-official-special-primary-results-us-house-10cd.pdf,3,3,House,10,Democratic,JOHN J. FLORA,nj-2024-house-10-democratic-9,False,684
2024-official-special-primary-results-us-house-10cd.pdf,3,3,House,10,Democratic,EUGENE D. MAZO,nj-2024-house-10-democratic-10,False,586
