page	x	y	w	h	text
1	0.5072674408960584	0.2969924799792846	0.01308139695061572	0.011278197748197938	61
1	0.5071810408700155	0.3210839207366545	0.02633559332953561	0.011967497077777223	4,564
1	0.5072674417911343	0.3909774419811578	0.018895348442925397	0.011278199120391186	498
1	0.5072674409714069	0.4154135319435638	0.01744186189439556	0.011278199120391186	448
1	0.507267441035351	0.4924812016898108	0.01308139695061572	0.011278197748197938	14
1	0.5072674409035773	0.516917291791305	0.01744186189439556	0.013157898058994144	965
1	0.5072481988981137	0.5863657788378946	0.034922207726372556	0.011478968832990155	21.14%
1	0.3619186042919701	0.10714285364278942	0.03924418555365672	0.013157902175573999	Mohave
1	0.4578488368645089	0.16541353105006074	0.027616280449761277	0.01503759974198382	5,417
1	0.41130733486074633	0.16713002338456973	0.03639695909288193	0.011604615081128422	883,986
1	0.4593023265349395	0.19360902011711634	0.026162789662679042	0.011278200492584434	1,805
1	0.4112062389367351	0.1928554287279446	0.03659915076361764	0.01278538326565315	705,293
1	0.45784883626055656	0.21616541221548702	0.014534885618421756	0.015037596997597213	68
1	0.4112399021307491	0.21763821407466521	0.03217135959201389	0.013971692366565813	18,261
1	0.45930232464969206	0.2443609007076647	0.013081396950615776	0.011278198434294562	10
1	0.41129955788712425	0.24422046007142106	0.029145071241590714	0.013438779158557956	2,985
1	0.4593023253662898	0.27067668897832853	0.026162791781955297	0.011278201178681169	3,753
1	0.41130100882099996	0.27047832644071845	0.036409611172146306	0.011674926263822938	901,151
1	0.45784883709152185	0.29511278007639585	0.01889534844292534	0.011278199120391186	166
1	0.4111823376627077	0.2944849729542781	0.03083299848768445	0.014413512524940941	28,942
1	0.4113372105800642	0.3214285628269584	0.07848837110731338	0.011278212842323776	11,219 2,040,618
1	0.4578488367954682	0.38721804234705326	0.027616280449761332	0.01503759974198371	2,002
1	0.40980460057855506	0.3868785253580209	0.03794893900553381	0.015716633693777404	358,970
1	0.4593023247940812	0.41541353206574416	0.017441861894395616	0.011278199120391186	566
1	0.41133721029868114	0.4154135300544467	0.0363372082180447	0.01127820323697104	301,470
1	0.41133720834543785	0.46616541209205675	0.017441861894395616	0.013157898058994255	478
1	0.4593023249440235	0.4924812019717656	0.013081396950615776	0.011278197748197938	63
1	0.4098565263329699	0.49050423928664766	0.03203113343980574	0.015232123230858652	12,177
1	0.4578488366210496	0.5150375912568277	0.027616280449761277	0.01503759974198382	2,638
1	0.41132570050919526	0.5168639359671648	0.03636022779676651	0.013264609412323658	673,095
1	0.459279266064788	0.586367506703765	0.033476350572374136	0.013355212588962107	23.51%
1	0.4113372087462386	0.5864661614642213	0.03343023300170894	0.01127820323697093	26.49%
1	0.460755813494254	0.6522556380306629	0.011627908282809796	0.011278197748197938	11
1	0.41133720876210456	0.6522556373570977	0.017441861894395616	0.011278199120391186	956
1	0.41133720944892815	0.7161654100337669	0.030523255666097038	0.013157902175573999	31,347
1	0.41133720943075963	0.7387218006274385	0.030523255666096982	0.013157902175573999	43,709
1	0.41133720899471315	0.7631578914548292	0.030523255666096982	0.011278201864777793	12,718
1	0.41132287346303376	0.78752874773524	0.030551927354600716	0.011408670000035093	25,267
1	0.41133720908722005	0.810150373188855	0.026162791781955297	0.011278201178681058	6,248
1	0.4112565250437978	0.8323867697001928	0.03068462371826175	0.013797888995932261	29,002
1	0.4112813767372506	0.8568846839559201	0.030634920332166915	0.011794541722578988	13,006
