term,endorsed_score,opponent_score,difference
begin,0.00009606,0.00183641,-0.00174035
aren't,0.00000000,0.00173483,-0.00173483
asian,0.00226900,0.00053659,0.00173241
essential,0.00051876,0.00224891,-0.00173015
chris,0.00000000,0.00172985,-0.00172985
gender,0.00223239,0.00050969,0.00172270
roll,0.00000000,0.00171864,-0.00171864
subsidy,0.00268249,0.00097059,0.00171189
capitol,0.00000000,0.00171101,-0.00171101
losing,0.00192192,0.00021958,0.00170234
coalition,0.00254583,0.00084354,0.00170229
aisle,0.00020560,0.00189413,-0.00168853
criminal_justice,0.00364609,0.00195903,0.00168706
palestine,0.00190415,0.00021940,0.00168475
coast,0.00176809,0.00008477,0.00168332
benefit,0.00318440,0.00486659,-0.00168219
brooklyn,0.00187113,0.00018932,0.00168182
handout,0.00168169,0.00000000,0.00168169
dsa,0.00167705,0.00000000,0.00167705
customer,0.00019178,0.00186601,-0.00167423
human_right,0.00254791,0.00087808,0.00166983
harassment,0.00182600,0.00016039,0.00166561
back,0.00216578,0.00383072,-0.00166494
government,0.00368857,0.00534896,-0.00166039
dignity,0.00231982,0.00066000,0.00165982
concern,0.00048706,0.00214435,-0.00165729
sleeve,0.00000000,0.00165514,-0.00165514
police,0.00473369,0.00307874,0.00165495
standing,0.00196691,0.00031268,0.00165423
person,0.00108544,0.00273817,-0.00165273
kids,0.00413045,0.00247827,0.00165218
small_business,0.00017053,0.00182047,-0.00164995
may,0.00308849,0.00473567,-0.00164718
vote,0.00463827,0.00299397,0.00164430
repealing,0.00180895,0.00016800,0.00164095
manufacturing,0.00007602,0.00171323,-0.00163722
organize,0.00188933,0.00025273,0.00163660
say,0.00055609,0.00219181,-0.00163571
casta,0.00000000,0.00163567,-0.00163567
eda,0.00000000,0.00163567,-0.00163567
tony,0.00000000,0.00163567,-0.00163567
girl,0.00000000,0.00163300,-0.00163300
agenda,0.00078102,0.00241263,-0.00163160
upzoning,0.00169802,0.00006837,0.00162966
win,0.00215047,0.00052097,0.00162950
danny,0.00162754,0.00000000,0.00162754
marianne,0.00000000,0.00162678,-0.00162678
all,0.01275999,0.01113440,0.00162558
difficult,0.00061155,0.00223581,-0.00162427
wisconsinite,0.00022569,0.00184674,-0.00162105
simple,0.00218476,0.00057355,0.00161121
include,0.00094207,0.00255302,-0.00161095
front,0.00014372,0.00175290,-0.00160919
air,0.00312973,0.00153136,0.00159837
supporting,0.00228207,0.00068620,0.00159586
biden,0.00159480,0.00000000,0.00159480
protest,0.00166840,0.00007427,0.00159413
del,0.00016994,0.00175594,-0.00158600
week,0.00188626,0.00030736,0.00157890
hasn't,0.00012325,0.00170063,-0.00157738
climate_change,0.00394937,0.00237269,0.00157668
transit,0.00408925,0.00251998,0.00156928
pocket,0.00158166,0.00001594,0.00156572
revenue,0.00228591,0.00072512,0.00156079
resident,0.00513973,0.00357967,0.00156006
provide,0.00427140,0.00272019,0.00155121
taking,0.00056801,0.00211841,-0.00155039
fracking,0.00170967,0.00015962,0.00155004
getting,0.00110740,0.00265711,-0.00154970
hairston,0.00154733,0.00000000,0.00154733
southerner,0.00154733,0.00000000,0.00154733
writer,0.00154733,0.00000000,0.00154733
regardless,0.00211867,0.00057765,0.00154102
entrepreneur,0.00000000,0.00153830,-0.00153830
passed,0.00275270,0.00121619,0.00153651
taxe,0.00346160,0.00192665,0.00153495
loss,0.00188495,0.00035367,0.00153128
fossil,0.00307402,0.00154458,0.00152944
contractor,0.00193904,0.00041176,0.00152728
disproportionately,0.00169703,0.00016979,0.00152723
industry,0.00118905,0.00271429,-0.00152524
looking,0.00208571,0.00361070,-0.00152498
so-called,0.00159522,0.00007038,0.00152483
fair,0.00403240,0.00251115,0.00152125
incarceration,0.00273667,0.00121546,0.00152120
civic,0.00155904,0.00003795,0.00152110
profit,0.00268846,0.00116741,0.00152105
eliminate,0.00211200,0.00059153,0.00152048
apartment,0.00199236,0.00047486,0.00151750
already,0.00060535,0.00212114,-0.00151579
continue,0.00440045,0.00288519,0.00151526
concerning,0.00163047,0.00011884,0.00151163
adus,0.00151135,0.00000000,0.00151135
diversifying,0.00151135,0.00000000,0.00151135
downsizing,0.00151135,0.00000000,0.00151135
multi-pronged,0.00151135,0.00000000,0.00151135
corner,0.00033617,0.00184738,-0.00151121
fuel,0.00309248,0.00158677,0.00150570
privacy,0.00003189,0.00153170,-0.00149980
understand,0.00201380,0.00350909,-0.00149529
contractually,0.00000000,0.00149497,-0.00149497
minimum,0.00177966,0.00028691,0.00149275
idea,0.00036293,0.00185538,-0.00149244
patrol,0.00003912,0.00152987,-0.00149075
punishment,0.00157518,0.00008695,0.00148823
aspect,0.00000000,0.00148751,-0.00148751
statement,0.00021981,0.00170346,-0.00148365
privilege,0.00169679,0.00021863,0.00147816
million,0.00139360,0.00286980,-0.00147621
financing,0.00167670,0.00020178,0.00147492
