feature,dsa_count,democratic_count,z_score,favored_group
declined,2,1,2.773297,dsa
driving force,2,1,2.773297,dsa
employment without,2,1,2.773297,dsa
endless wars,2,1,2.773297,dsa
endorsed,2,1,2.773297,dsa
equal democratic,2,1,2.773297,dsa
exit,2,1,2.773297,dsa
expansion legal,2,1,2.773297,dsa
expendable,2,1,2.773297,dsa
family end,2,1,2.773297,dsa
fare-free,2,1,2.773297,dsa
fight mass,2,1,2.773297,dsa
figure,2,1,2.773297,dsa
force expand,2,1,2.773297,dsa
free exploitation,2,1,2.773297,dsa
graduate student,2,1,2.773297,dsa
green infrastructure,2,1,2.773297,dsa
hall,2,1,2.773297,dsa
highlighting,2,1,2.773297,dsa
home without,2,1,2.773297,dsa
hospital care,2,1,2.773297,dsa
housing available,2,1,2.773297,dsa
illegal activity,2,1,2.773297,dsa
incarcerate,2,1,2.773297,dsa
independent political,2,1,2.773297,dsa
investment building,2,1,2.773297,dsa
jobs guarantee,2,1,2.773297,dsa
jobs initiative,2,1,2.773297,dsa
join together,2,1,2.773297,dsa
justice movement,2,1,2.773297,dsa
labor action,2,1,2.773297,dsa
local ordinance,2,1,2.773297,dsa
low wage,2,1,2.773297,dsa
major transportation,2,1,2.773297,dsa
masshealth,2,1,2.773297,dsa
mayor,2,1,2.773297,dsa
military aid,2,1,2.773297,dsa
million struggle,2,1,2.773297,dsa
national sovereignty,2,1,2.773297,dsa
newsletter,2,1,2.773297,dsa
nick,2,1,2.773297,dsa
numerous,2,1,2.773297,dsa
one key,2,1,2.773297,dsa
only party,2,1,2.773297,dsa
organization democratic,2,1,2.773297,dsa
organizing every,2,1,2.773297,dsa
overcoming,2,1,2.773297,dsa
overturn election,2,1,2.773297,dsa
page free,2,1,2.773297,dsa
party rooted,2,1,2.773297,dsa
past criminal,2,1,2.773297,dsa
police power,2,1,2.773297,dsa
