feature,endorsed_count,opponent_count,z_score,favored_group
cannot,5,23,-1.482357,opponent
choice,5,23,-1.482357,opponent
all human_right,7,0,1.477371,endorsed
america comprehensive,7,0,1.477371,endorsed
buck hour,7,0,1.477371,endorsed
copay,7,0,1.477371,endorsed
coverage free,7,0,1.477371,endorsed
create medicare_for_all,7,0,1.477371,endorsed
deductible,7,0,1.477371,endorsed
everyone america,7,0,1.477371,endorsed
guts,7,0,1.477371,endorsed
guts take,7,0,1.477371,endorsed
home guarantee,7,0,1.477371,endorsed
hour guts,7,0,1.477371,endorsed
living_wage buck,7,0,1.477371,endorsed
medicare_for_all single_payer,7,0,1.477371,endorsed
national health,7,0,1.477371,endorsed
provide everyone,7,0,1.477371,endorsed
single_payer national,7,0,1.477371,endorsed
take fossil,7,0,1.477371,endorsed
hour,14,18,1.477286,endorsed
place,15,51,-1.473151,opponent
live,33,52,1.464336,endorsed
authority,9,10,1.459279,endorsed
further,9,10,1.459279,endorsed
poverty,9,10,1.459279,endorsed
raise,18,25,1.456697,endorsed
estate,7,7,1.449140,endorsed
paying,7,7,1.449140,endorsed
ensuring,10,37,-1.448153,opponent
i've,10,37,-1.448153,opponent
mental health,44,73,1.441691,endorsed
disparity,1,10,-1.440318,opponent
else,1,10,-1.440318,opponent
entire,1,10,-1.440318,opponent
higher education,1,10,-1.440318,opponent
later,1,10,-1.440318,opponent
long time,1,10,-1.440318,opponent
personal,1,10,-1.440318,opponent
rapid,1,10,-1.440318,opponent
skill,1,10,-1.440318,opponent
trade,1,10,-1.440318,opponent
wars,1,10,-1.440318,opponent
safe,36,58,1.432957,endorsed
congress,9,34,-1.431642,opponent
bail,12,15,1.430964,endorsed
order,12,15,1.430964,endorsed
affordable care,0,13,-1.425628,opponent
care act,0,13,-1.425628,opponent
density,0,13,-1.425628,opponent
bike lane,2,13,-1.415836,opponent
ways,2,13,-1.415836,opponent
reform,23,71,-1.406515,opponent
individual,7,28,-1.403610,opponent
montgomery,7,28,-1.403610,opponent
reducing,7,28,-1.403610,opponent
month,3,16,-1.395845,opponent
putting,3,16,-1.395845,opponent
rather,3,16,-1.395845,opponent
health,86,156,1.394979,endorsed
political,10,12,1.388424,endorsed
effective,4,19,-1.387375,opponent
role,4,19,-1.387375,opponent
safer,4,19,-1.387375,opponent
ally,4,3,1.387079,endorsed
anyone,4,3,1.387079,endorsed
appropriate,4,3,1.387079,endorsed
every student,4,3,1.387079,endorsed
expand transportation,4,3,1.387079,endorsed
fare,4,3,1.387079,endorsed
healthcare everyone,4,3,1.387079,endorsed
high quality,4,3,1.387079,endorsed
hope,4,3,1.387079,endorsed
local government,4,3,1.387079,endorsed
medicare negotiate,4,3,1.387079,endorsed
mixed,4,3,1.387079,endorsed
negotiation,4,3,1.387079,endorsed
oregon,4,3,1.387079,endorsed
respond,4,3,1.387079,endorsed
shouldn't,4,3,1.387079,endorsed
spend,4,3,1.387079,endorsed
thriving,4,3,1.387079,endorsed
town,4,3,1.387079,endorsed
whose,4,3,1.387079,endorsed
building,42,70,1.386625,endorsed
get,33,96,-1.382569,opponent
project,21,31,1.380547,endorsed
together,21,31,1.380547,endorsed
