feature,endorsed_documents,opponent_documents,endorsed_share,opponent_share,difference
permitting,6,42,0.012270,0.049822,-0.037552
thing done,6,42,0.012270,0.049822,-0.037552
oppression,23,8,0.047035,0.009490,0.037545
running office,34,27,0.069530,0.032028,0.037501
jobs,172,265,0.351738,0.314353,0.037385
having,74,159,0.151329,0.188612,-0.037283
credit,45,109,0.092025,0.129300,-0.037276
add,34,90,0.069530,0.106762,-0.037232
including,187,291,0.382413,0.345196,0.037217
father,23,71,0.047035,0.084223,-0.037188
small_business owner,12,52,0.024540,0.061684,-0.037145
racism,46,48,0.094070,0.056940,0.037130
post,59,133,0.120654,0.157770,-0.037115
legal,97,136,0.198364,0.161329,0.037035
remain,66,145,0.134969,0.172005,-0.037035
impacted,50,55,0.102249,0.065243,0.037006
gun,44,107,0.089980,0.126928,-0.036948
public_housing,36,31,0.073620,0.036773,0.036846
ask,40,100,0.081800,0.118624,-0.036824
comment,40,100,0.081800,0.118624,-0.036824
wealthiest,29,19,0.059305,0.022539,0.036766
i'll,36,93,0.073620,0.110320,-0.036701
corporate interest,22,7,0.044990,0.008304,0.036686
pathway,32,86,0.065440,0.102017,-0.036577
menu,84,114,0.171779,0.135231,0.036548
member,200,314,0.408998,0.372479,0.036519
systemic,41,40,0.083845,0.047450,0.036395
regulation,35,91,0.071575,0.107948,-0.036373
compliance,6,41,0.012270,0.048636,-0.036366
all worker,23,9,0.047035,0.010676,0.036359
ending,63,78,0.128834,0.092527,0.036308
permanent,63,78,0.128834,0.092527,0.036308
june,60,134,0.122699,0.158956,-0.036257
proven,31,84,0.063395,0.099644,-0.036249
law enforcement,49,115,0.100204,0.136418,-0.036213
andrew,20,65,0.040900,0.077106,-0.036206
same time,20,65,0.040900,0.077106,-0.036206
question,96,196,0.196319,0.232503,-0.036184
union jobs,31,23,0.063395,0.027284,0.036111
balanced,5,39,0.010225,0.046263,-0.036038
mind,23,70,0.047035,0.083037,-0.036002
sander,35,30,0.071575,0.035587,0.035987
zoning,41,101,0.083845,0.119810,-0.035966
gentrification,28,18,0.057260,0.021352,0.035907
traffic,33,87,0.067485,0.103203,-0.035718
economic growth,4,37,0.008180,0.043891,-0.035711
organized,47,51,0.096115,0.060498,0.035616
stabilization,29,20,0.059305,0.023725,0.035580
approach,76,161,0.155419,0.190985,-0.035565
wage,87,120,0.177914,0.142349,0.035565
progress,47,111,0.096115,0.131673,-0.035558
seven,18,61,0.036810,0.072361,-0.035551
concern,65,142,0.132924,0.168446,-0.035522
track,36,92,0.073620,0.109134,-0.035514
country,156,239,0.319018,0.283511,0.035507
police,112,223,0.229039,0.264531,-0.035493
data center,33,27,0.067485,0.032028,0.035456
corridor,14,54,0.028630,0.064057,-0.035427
supply,32,85,0.065440,0.100830,-0.035391
address,158,302,0.323108,0.358244,-0.035136
preservation,13,52,0.026585,0.061684,-0.035100
prioritizing,13,52,0.026585,0.061684,-0.035100
black brown,38,36,0.077710,0.042705,0.035005
