cycle,state_code,chamber,district,primary_party,status,candidate_rows,reporting_units,source_ids,notes
2026,MI,Senate,S,Republican,complete_certified_results,1,83,mi-2026-primary-results,
2026,NY,House,01,Democratic,complete_certified_results,2,1,suffolk-2026-cd01-dem,
2026,NY,House,02,Conservative,official_uncontested_roster,1,,ny-2026-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2026,NY,House,02,Democratic,official_uncontested_roster,1,,ny-2026-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2026,NY,House,02,Republican,official_uncontested_roster,1,,ny-2026-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2026,NY,House,02,Working Families,official_uncontested_roster,1,,ny-2026-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2026,NY,House,03,Conservative,official_uncontested_roster,1,,ny-2026-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2026,NY,House,03,Democratic,partial_official_uncertified,3,572/572,ny-2026-enr-uncertified,Authority-hosted election-night total; ED reporting 572 of 572; excluded from successful results.
2026,NY,House,03,Republican,partial_official_uncertified,3,572/572,ny-2026-enr-uncertified,Authority-hosted election-night total; ED reporting 572 of 572; excluded from successful results.
2026,NY,House,04,Republican,partial_official_uncertified,3,587/587,ny-2026-enr-uncertified,Authority-hosted election-night total; ED reporting 587 of 587; excluded from successful results.
2026,NY,House,06,Democratic,complete_certified_results,49,1,nyc-2026-cd06-dem,
2026,NY,House,07,Democratic,complete_certified_results,56,2,nyc-2026-cd07-dem,
2026,NY,House,09,Democratic,complete_certified_results,174,1,nyc-2026-cd09-dem,
2026,NY,House,10,Democratic,complete_certified_results,72,2,nyc-2026-cd10-dem,
2026,NY,House,11,Democratic,complete_certified_results,108,2,nyc-2026-cd11-dem,
2026,NY,House,12,Democratic,complete_certified_results,80,1,nyc-2026-cd12-dem,
2026,NY,House,13,Democratic,complete_certified_results,92,2,nyc-2026-cd13-dem,
2026,NY,House,14,Democratic,complete_certified_results,71,2,nyc-2026-cd14-dem,
2026,NY,House,15,Democratic,complete_certified_results,49,1,nyc-2026-cd15-dem,
2026,NY,House,16,Democratic,official_uncontested_roster,1,,ny-2026-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2026,NY,House,16,Republican,official_uncontested_roster,1,,ny-2026-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2026,NY,House,17,Conservative,official_uncontested_roster,1,,ny-2026-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2026,NY,House,17,Democratic,complete_certified_results,6,4,ny-2026-cd17-certified-county-canvass,
2026,NY,House,17,Republican,official_uncontested_roster,1,,ny-2026-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2026,NY,House,17,Working Families,official_uncontested_roster,1,,ny-2026-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2026,NY,House,18,Conservative,official_uncontested_roster,1,,ny-2026-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2026,NY,House,18,Democratic,official_uncontested_roster,1,,ny-2026-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2026,NY,House,18,Republican,official_uncontested_roster,1,,ny-2026-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2026,NY,House,18,Working Families,official_uncontested_roster,1,,ny-2026-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2026,NY,House,19,Conservative,official_uncontested_roster,1,,ny-2026-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2026,NY,House,19,Democratic,official_uncontested_roster,1,,ny-2026-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
2026,NY,House,19,Republican,partial_official_uncertified,3,651/654,ny-2026-enr-uncertified,Authority-hosted election-night total; ED reporting 651 of 654; excluded from successful results.
2026,NY,House,19,Working Families,official_uncontested_roster,1,,ny-2026-primary-certification,Explicitly marked Uncontested in the official pre-election certification; no vote result is inferred.
