,,David Robinson II,Daniel J Shrief,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Democratic,Democratic,,,
Precinct,Beulah Church,24,9,33,663,696
Precinct,Boiling Springs,17,8,25,465,490
Precinct,Boiling Springs South,6,1,7,301,308
Precinct,Bush River,21,7,28,181,209
Precinct,Carolina Springs,20,3,23,289,312
Precinct,Cayce No. 01,78,18,96,130,226
Precinct,Cayce No. 02,65,14,79,107,186
Precinct,Cayce No. 02-A,44,7,51,128,179
Precinct,Cayce No. 03,34,10,44,114,158
Precinct,Cedar Crest,44,9,53,294,347
Precinct,Chalk Hill,204,60,264,131,395
Precinct,Challedon,76,11,87,106,193
Precinct,Chapin,30,3,33,477,510
Precinct,Coldstream,31,10,41,284,325
Precinct,Congaree 01,9,4,13,303,316
Precinct,Congaree 02,18,7,25,197,222
Precinct,Cromer,17,6,23,245,268
Precinct,Dreher Island,5,2,7,384,391
Precinct,Dutchman Shores,24,4,28,647,675
Precinct,Edenwood,67,17,84,293,377
Precinct,Edmund 01,18,1,19,155,174
Precinct,Edmund 02,9,3,12,318,330
Precinct,Emmanuel Church,22,3,25,328,353
Precinct,Failsafe,2,1,3,11,14
Precinct,Failsafe Provisional,2,0,2,13,15
Precinct,Fairview,9,3,12,230,242
Precinct,Faith Church,11,0,11,210,221
Precinct,Gardendale,88,20,108,128,236
Precinct,Gaston 01,19,4,23,161,184
Precinct,Gaston 02,18,5,23,179,202
Precinct,Gilbert,12,9,21,393,414
Precinct,Grenadier,49,18,67,145,212
Precinct,Hollow Creek,11,3,14,498,512
Precinct,Hook's Store,48,10,58,188,246
Precinct,Irmo,51,6,57,215,272
Precinct,Kitti Wake,40,5,45,268,313
Precinct,Lake Murray 01,21,5,26,601,627
Precinct,Lake Murray 02,45,8,53,652,705
Precinct,Leaphart Road,30,7,37,97,134
Precinct,Leesville,47,6,53,416,469
Precinct,Lexington No. 01,42,10,52,488,540
Precinct,Lexington No. 02,40,8,48,360,408
Precinct,Lexington No. 03,37,9,46,638,684
Precinct,Lexington No. 04,39,5,44,494,538
Precinct,Lincreek,48,5,53,277,330
Precinct,Mack-edisto,10,1,11,152,163
Precinct,Midway,18,5,23,285,308
Precinct,Mims,12,0,12,189,201
Precinct,Mount Horeb,22,6,28,681,709
Precinct,Mt. Hebron,42,7,49,201,250
