Precinct_name,Reporting_flag,Pct_Id,Pct_seq_nbr,Reg_voters,Aggregation_ID,Contest_Id,Contest_seq_nbr,Contest_title,Contest_party_name,Selectable_Options,Candidate_State_ID,candidate_id,candidate_name,Candidate_Type,cand_seq_nbr,Party_Code,total_ballots,total_votes,total_under_votes,total_over_votes,Election Day_ballots,Election Day_votes,Election Day_under_votes,Election Day_over_votes,Absentee_ballots,Absentee_votes,Absentee_under_votes,Absentee_over_votes,Early Voting_ballots,Early Voting_votes,Early Voting_under_votes,Early Voting_over_votes,Question_ballots,Question_votes,Question_under_votes,Question_over_votes,Remote_ballots,Remote_votes,Remote_under_votes,Remote_over_votes,
"36-170 Tok",0,"36-170",294,1395,"",5,7,"Governor / Lieutenant Governor","",1,"",26,"Hughes/Gettys",C,40,"REP",214,3,6,0,214,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-170 Tok",0,"36-170",294,1395,"",5,7,"Governor / Lieutenant Governor","",1,"",27,"Kreiss-Tomkins/Johnson",C,41,"DEM/NON",214,16,6,0,214,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-170 Tok",0,"36-170",294,1395,"",5,7,"Governor / Lieutenant Governor","",1,"",5,"Kroll/Nicholson",C,42,"REP/UND",214,0,6,0,214,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-170 Tok",0,"36-170",294,1395,"",5,7,"Governor / Lieutenant Governor","",1,"",125,"McGuire/Rasmussen",C,43,"REP",214,0,6,0,214,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-170 Tok",0,"36-170",294,1395,"",5,7,"Governor / Lieutenant Governor","",1,"",28,"Parkin IV/Greer",C,44,"REP/DEM",214,0,6,0,214,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-170 Tok",0,"36-170",294,1395,"",5,7,"Governor / Lieutenant Governor","",1,"",126,"Payne/Silvers",C,45,"UND",214,1,6,0,214,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-170 Tok",0,"36-170",294,1395,"",5,7,"Governor / Lieutenant Governor","",1,"",29,"Taylor/English",C,46,"REP",214,37,6,0,214,37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-170 Tok",0,"36-170",294,1395,"",5,7,"Governor / Lieutenant Governor","",1,"",127,"Walker/Hoffbeck",C,47,"NON",214,4,6,0,214,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-170 Tok",0,"36-170",294,1395,"",5,7,"Governor / Lieutenant Governor","",1,"",31,"Wilson/Shower",C,48,"REP",214,35,6,0,214,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-170 Tok",0,"36-170",294,1395,"",63,63,"House District 36","",1,"",134,"Jones, Crystal",C,163,"NON",214,37,27,0,214,37,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-170 Tok",0,"36-170",294,1395,"",63,63,"House District 36","",1,"",16,"Schwanke, Rebecca A.",C,164,"REP",214,150,27,0,214,150,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-170 Tok",0,"36-170",294,1395,"",68,68,"BM#1 23RCF2","",1,"",1,"YES",C,181,"",214,138,18,0,214,138,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-170 Tok",0,"36-170",294,1395,"",68,68,"BM#1 23RCF2","",1,"",2,"NO",C,182,"",214,58,18,0,214,58,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",6,5,"U.S. Senator","",1,"",47,"Darden, Dustin Thomas House",C,1,"REP",23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",6,5,"U.S. Senator","",1,"",33,"Grauberger, Fred C.",C,2,"REP",23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",6,5,"U.S. Senator","",1,"",34,"Grayson, Richard",C,3,"GRN",23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"36-174 Venetie",0,"36-174",295,139,"",6,5,"U.S. Senator","",1,"",56,"Hafner, Carol ""Kitty""",C,4,"DEM",23,1,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
